	name
TIGR01814	kynureninase
TIGR01083	endonuclease III
TIGR03577	conserved hypothetical protein EF_0830/AHA_3911
TIGR01881	CRISPR-associated protein, Cmr5 family
TIGR03860	FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family
TIGR01112	tetrahydromethanopterin S-methyltransferase, subunit D
TIGR00179	UDP-N-acetylenolpyruvoylglucosamine reductase
TIGR00334	ribonuclease M5
TIGR01039	ATP synthase F1, beta subunit
TIGR00931	Na+/H+ antiporter NhaC
TIGR03537	succinyldiaminopimelate transaminase
TIGR03121	formylmethanofuran dehydrogenase subunit A
TIGR03485	CRISPR-associated protein, Cas_csx13 family
TIGR00310	ZPR1 zinc finger domain
TIGR01015	homogentisate 1,2-dioxygenase
TIGR02697	Wolbachia palindromic element (WPE) domain
TIGR02503	type III secretion chaperone SycN
TIGR03277	putative methanogenesis marker domain 9
TIGR03796	NHPM bacteriocin system ABC transporter, peptidase/ATP-binding protein
TIGR02713	allophanate hydrolase
TIGR02636	galactose mutarotase
TIGR02177	2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family
TIGR00527	glycine cleavage system H protein
TIGR01650	cobaltochelatase, CobS subunit
TIGR02500	type III secretion apparatus protein, YscD/HrpQ family
TIGR00442	histidyl-tRNA synthetase
TIGR03260	methyl-coenzyme M reductase operon protein D
TIGR03053	photosystem I reaction center subunit XII
TIGR02987	type II restriction m6 adenine DNA methyltransferase, Alw26I/Eco31I/Esp3I family
TIGR03567	FMN reductase
TIGR01691	2,3-diketo-5-methylthio-1-phosphopentane phosphatase
TIGR01003	phosphocarrier,  HPr family
TIGR03812	tyrosine decarboxylase MnfA
TIGR02524	Dot/Icm secretion system ATPase DotB
TIGR03382	Myxococcales GC_trans_RRR domain
TIGR02074	penicillin-binding protein, 1A family
TIGR00532	hydroxymethylglutaryl-CoA reductase, degradative
TIGR01500	sepiapterin reductase
TIGR03042	photosystem II protein PsbQ
TIGR00389	glycyl-tRNA synthetase
TIGR03393	indolepyruvate decarboxylase
TIGR00901	AmpG-related permease
TIGR01395	flagellar basal-body rod protein FlgC
TIGR01917	glycine reductase, selenoprotein B
TIGR01402	flagellar biosynthetic protein FliQ
TIGR00620	spore photoproduct lyase
TIGR03392	cysteine desulfurase, catalytic subunit CsdA
TIGR00187	riboflavin synthase, alpha subunit
TIGR00651	phosphate acetyltransferase
TIGR00704	Na/Pi-cotransporter II-related protein
TIGR03343	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase
TIGR03087	sugar transferase, PEP-CTERM/EpsH1 system associated
TIGR01161	phosphoribosylaminoimidazole carboxylase, ATPase subunit
TIGR03153	cytochrome c nitrate reductase, small subunit
TIGR02698	copper transport repressor, CopY/TcrY family
TIGR01271	cystic fibrosis transmembrane conductor regulator (CFTR)
TIGR02044	Cu(I)-responsive transcriptional regulator
TIGR01108	oxaloacetate decarboxylase alpha subunit
TIGR00165	ribosomal protein S18
TIGR00186	RNA methyltransferase, TrmH family, group 3
TIGR02470	sucrose synthase
TIGR03751	conjugative transfer region lipoprotein, TIGR03751 family
TIGR03424	urea carboxylase-associated protein 1
TIGR00287	CRISPR-associated endonuclease Cas1
TIGR03452	mycothione reductase
TIGR01714	phage replisome organizer, putative, N-terminal region
TIGR01315	FGGY-family pentulose kinase
TIGR03663	conserved hypothetical protein TIGR03663
TIGR02759	type IV conjugative transfer system coupling protein TraD
TIGR02663	nitrogen fixation protein NifX
TIGR00497	type I restriction-modification system, M subunit
TIGR01674	phage minor tail protein G
TIGR01893	aminoacyl-histidine dipeptidase
TIGR02309	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
TIGR01082	UDP-N-acetylmuramate--alanine ligase
TIGR03221	muconolactone delta-isomerase
TIGR01841	phasin family protein
TIGR00033	chorismate synthase
TIGR02862	pro-sigmaK processing inhibitor BofA
TIGR00467	lysyl-tRNA synthetase
TIGR02685	pteridine reductase
TIGR00201	comF family protein
TIGR00768	alpha-L-glutamate ligases, RimK family
TIGR03408	urea ABC transporter, permease protein UrtC
TIGR02582	CRISPR-associated RAMP protein, Csm3 family
TIGR02741	type-F conjugative transfer system pilin chaperone TraQ
TIGR00155	integral membrane protein, PqiA family
TIGR01434	glutamate--cysteine ligase
TIGR02695	azurin
TIGR01037	dihydroorotate dehydrogenase family protein
TIGR00714	Fe-S protein assembly co-chaperone HscB
TIGR03300	outer membrane assembly lipoprotein YfgL
TIGR03599	DAK2 domain fusion protein YloV
TIGR00675	DNA (cytosine-5-)-methyltransferase
TIGR01393	GTP-binding protein LepA
TIGR03437	Solibacter uncharacterized C-terminal domain
TIGR00395	leucyl-tRNA synthetase
TIGR00416	DNA repair protein RadA
TIGR01176	fumarate reductase, flavoprotein subunit
TIGR03756	integrating conjugative element protein, PFL_4710 family
TIGR00717	ribosomal protein S1
TIGR01744	xanthine phosphoribosyltransferase
TIGR03181	pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit
TIGR03539	succinyldiaminopimelate transaminase
TIGR03827	putative beta-lysine N-acetyltransferase
TIGR01517	calcium-translocating P-type ATPase, PMCA-type
TIGR01926	uncharacterized peroxidase-related enzyme
TIGR00981	ribosomal protein S12
TIGR01571	uncharacterized Cys-rich domain
TIGR03432	probable dehydratase, YjhG/YagF family
TIGR03809	conserved hypothetical protein TIGR03809
TIGR01435	glutamate--cysteine ligase/gamma-glutamylcysteine synthetase
TIGR00609	exodeoxyribonuclease V, beta subunit
TIGR03787	proteobacterial dedicated sortase system response regulator
TIGR02150	isopentenyl-diphosphate delta-isomerase
TIGR01237	putative delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01224	imidazolonepropionase
TIGR03205	dicarboxylate--CoA ligase PimA
TIGR03182	pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit
TIGR01847	bacteriocin-type signal sequence
TIGR03410	urea ABC transporter, ATP-binding protein UrtE
TIGR01210	conserved hypothetical protein TIGR01210
TIGR01622	splicing factor, CC1-like family
TIGR02282	lytic murein transglycosylase B
TIGR01077	ribosomal protein L13
TIGR01686	FkbH domain
TIGR01019	succinate-CoA ligase, alpha subunit
TIGR02491	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR03297	phosphonopyruvate decarboxylase
TIGR02587	putative integral membrane protein TIGR02587
TIGR02397	DNA polymerase III, subunit gamma and tau
TIGR01451	conserved repeat domain
TIGR02609	putative addiction module antidote
TIGR01726	amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
TIGR02438	catechol 1,2-dioxygenase
TIGR01699	xanthosine phosphorylase
TIGR02228	signal peptidase I
TIGR01922	IMP cyclohydrolase
TIGR00893	d-galactonate transporter
TIGR00625	Transcription factor tfb2
TIGR03666	PPOX class probable F420-dependent enzyme, Rv2061 family
TIGR00506	3,4-dihydroxy-2-butanone-4-phosphate synthase
TIGR01484	HAD hydrolase, family IIB
TIGR00048	radical SAM enzyme, Cfr family
TIGR01851	N-acetyl-gamma-glutamyl-phosphate reductase
TIGR00964	preprotein translocase, SecE subunit
TIGR03754	conjugative coupling factor TraD, PFGI-1 class
TIGR03837	conserved hypothetical protein, PP_1857 family
TIGR02429	3-oxoacid CoA-transferase, A subunit
TIGR00415	seryl-tRNA synthetase
TIGR02021	magnesium protoporphyrin O-methyltransferase
TIGR03253	formyl-CoA transferase
TIGR02380	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase
TIGR01953	transcription termination factor NusA
TIGR03868	proposed F420-0 ABC transporter, periplasmic F420-0 binding protein
TIGR01621	pseudouridine synthase Rlu family protein, TIGR01621
TIGR01364	phosphoserine transaminase
TIGR02382	TDP-D-fucosamine acetyltransferase
TIGR03265	putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein
TIGR02692	tRNA adenylyltransferase
TIGR01537	phage portal protein, HK97 family
TIGR02220	phage conserved hypothetical protein, C-terminal domain
TIGR02740	TraF-like protein
TIGR01400	flagellar biosynthetic protein FliR
TIGR02750	type-F conjugative transfer system mating-pair stabilization protein TraN
TIGR00824	PTS system, mannose/fructose/sorbose family, IIA component
TIGR00061	ribosomal protein L21
TIGR03852	sucrose phosphorylase
TIGR01394	GTP-binding protein TypA/BipA
TIGR03096	nitrosocyanin
TIGR00922	transcription termination/antitermination factor NusG
TIGR00100	hydrogenase nickel insertion protein HypA
TIGR03580	conserved hypothetical protein EF_0832/AHA_3913
TIGR01749	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabA
TIGR03255	2-aminoethylphosphonate ABC transport system, membrane component PhnV
TIGR02272	gentisate 1,2-dioxygenase
TIGR01121	D-amino-acid transaminase
TIGR02627	rhamnulokinase
TIGR03229	benzoate 1,2-dioxygenase, large subunit
TIGR01683	thiamine biosynthesis protein ThiS
TIGR02373	photoactive yellow protein
TIGR00707	acetylornithine and succinylornithine aminotransferases
TIGR00815	sulfate permease
TIGR00347	dethiobiotin synthase
TIGR03461	aminodeoxychorismate lyase
TIGR00435	cysteinyl-tRNA synthetase
TIGR03568	UDP-N-acetyl-D-glucosamine 2-epimerase, UDP-hydrolysing
TIGR02878	sporulation protein YpjB
TIGR02840	putative sporulation protein YtaF
TIGR03667	PPOX class probable F420-dependent enzyme, Rv3369 family
TIGR03601	probable heterocycle-containing bacteriocin, BA_2677 family
TIGR01084	A/G-specific adenine glycosylase
TIGR00088	tRNA (guanine-N1)-methyltransferase
TIGR02120	general secretion pathway protein F
TIGR01615	uncharacterized plant-specific domain TIGR01615
TIGR01318	glutamate synthase, small subunit
TIGR00397	MauM/NapG family ferredoxin-type protein
TIGR00766	putative ribonuclease
TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase
TIGR02667	molybdenum cofactor biosynthesis protein B
TIGR03174	CRISPR-associated protein Csc3
TIGR00645	conserved hypothetical protein TIGR00645
TIGR00509	molybdopterin guanine dinucleotide-containing S/N-oxide reductases
TIGR00779	cadmium resistance transporter family protein
TIGR03510	XapX domain
TIGR02162	trimethylamine-N-oxide reductase c-type cytochrome TorC
TIGR02347	T-complex protein 1, zeta subunit
TIGR01595	CRISPR-associated protein, CT1132 family
TIGR03302	outer membrane assembly lipoprotein YfiO
TIGR03295	coenzyme F420 hydrogenase, subunit alpha
TIGR01961	NADH (or F420H2) dehydrogenase, subunit C
TIGR02487	anaerobic ribonucleoside-triphosphate reductase
TIGR03808	twin-arg-translocated uncharacterized repeat protein
TIGR02509	type III secretion effector, YopR family
TIGR03379	glycerol-3-phosphate dehydrogenase, anaerobic, C subunit
TIGR00077	signal peptidase II
TIGR00140	hydrogenase expression/formation protein
TIGR01815	anthranilate synthase
TIGR03256	methyl-coenzyme M reductase, alpha subunit
TIGR03389	laccase
TIGR01962	NADH dehydrogenase (quinone), D subunit
TIGR03225	benzoyl-CoA oxygenase, B subunit
TIGR00691	RelA/SpoT family protein
TIGR02842	cytochrome o ubiquinol oxidase, subunit III
TIGR03707	polyphosphate kinase 2
TIGR00685	trehalose-phosphatase
TIGR03538	succinyldiaminopimelate transaminase
TIGR01437	uncharacterized pyridoxal phosphate-dependent enzyme
TIGR00194	excinuclease ABC subunit C
TIGR00664	DNA polymerase III, psi subunit
TIGR03140	alkyl hydroperoxide reductase, F subunit
TIGR02379	TDP-4-keto-6-deoxy-D-glucose transaminase
TIGR00495	DNA-binding protein, 42 kDa
TIGR01129	protein-export membrane protein SecD
TIGR02464	conserved hypothetical protein
TIGR02941	RNA polymerase sigma-B factor
TIGR03684	arCOG04150 universal archaeal PUA-domain protein
TIGR02022	formiminoglutamate deiminase
TIGR01278	light-independent protochlorophyllide reductase, B subunit
TIGR03420	DnaA regulatory inactivator Hda
TIGR03291	putative methanogenesis marker protein 17
TIGR01196	phosphogluconate dehydratase
TIGR02146	homocitrate synthase
TIGR00684	nitrate reductase molybdenum cofactor assembly chaperone
TIGR00629	UV damage endonuclease UvdE
TIGR02383	RNA chaperone Hfq
TIGR01971	NADH-quinone oxidoreductase, chain I
TIGR03610	pyrimidine utilization protein C
TIGR00450	tRNA modification GTPase TrmE
TIGR01171	ribosomal protein L2
TIGR00475	selenocysteine-specific translation elongation factor
TIGR03135	holo-ACP synthase, malonate decarboxylase-specific
TIGR01892	acetylornithine deacetylase (ArgE)
TIGR01345	malate synthase G
TIGR00733	oligopeptide transporter, OPT family
TIGR00529	converved hypothetical protein TIGR00529
TIGR02173	putative cytidylate kinase
TIGR03465	squalene synthase HpnD
TIGR02683	probable addiction module killer protein
TIGR02792	protocatechuate 4,5-dioxygenase, alpha subunit
TIGR00597	DNA repair protein rad10
TIGR03608	putative bacteriocin export ABC transporter, lactococcin 972 group
TIGR02958	secretion protein snm4
TIGR01949	predicted phospho-2-dehydro-3-deoxyheptonate aldolase
TIGR00275	flavoprotein, HI0933 family
TIGR01289	light-dependent protochlorophyllide reductase
TIGR02296	4-hydroxyphenylacetate 3-monooxygenase, reductase component
TIGR01951	transcription antitermination factor NusB
TIGR03548	cyclically-permuted mutatrotase family protein
TIGR00132	glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit
TIGR03095	rusticyanin
TIGR03478	DMSO reductase family type II enzyme, iron-sulfur subunit
TIGR01758	malate dehydrogenase, NAD-dependent
TIGR02069	cyanophycinase
TIGR02905	spore coat protein YutH
TIGR03701	menaquinone biosynthesis decarboxylase, SCO4490 family
TIGR00447	peptidyl-tRNA hydrolase
TIGR01819	LPPG:FO 2-phospho-L-lactate transferase
TIGR02072	biotin biosynthesis protein BioC
TIGR00672	CDP-diacylglycerol pyrophosphatase
TIGR03398	phospholipase C accessory protein PlcR
TIGR00821	PTS system, glucitol/sorbitol-specific, IIC component
TIGR02805	tonB-system energizer ExbB
TIGR01497	K+-transporting ATPase, B subunit
TIGR02880	CbbX protein
TIGR03188	phosphoribosyl-ATP diphosphatase
TIGR01993	pyrimidine 5'-nucleotidase
TIGR02249	integron integrase
TIGR02472	sucrose-phosphate synthase, putative, glycosyltransferase domain
TIGR03110	exosortase family protein
TIGR03696	RHS repeat-associated core domain
TIGR03633	proteasome endopeptidase complex, archaeal, alpha subunit
TIGR01518	glycerol-3-phosphate cytidylyltransferase
TIGR01570	uncharacterized plant-specific domain TIGR01570
TIGR02926	ATP synthase archaeal, H subunit
TIGR00249	phosphohistidine phosphatase SixA
TIGR02749	solanesyl diphosphate synthase
TIGR01480	copper-resistance protein, CopA family
TIGR01909	C_GCAxxG_C_C family protein
TIGR00324	tRNA intron endonuclease
TIGR03843	conserved hypothetical protein
TIGR00756	pentatricopeptide repeat domain
TIGR01429	AMP deaminase
TIGR03381	N-carbamoylputrescine amidase
TIGR02623	glucose-1-phosphate cytidylyltransferase
TIGR03447	cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
TIGR03183	putative sulfurtransferase DndC
TIGR00142	hydrogenase maturation peptidase HycI
TIGR01252	alpha-acetolactate decarboxylase
TIGR01495	early transcribed membrane protein (ETRAMP) family
TIGR01342	putative aconitate hydratase
TIGR03587	pseudaminic acid biosynthesis-associated methylase
TIGR02234	trp region conserved hypothetical membrane protein
TIGR01715	phage tail assembly protein T
TIGR00696	glycosyl transferase, WecB/TagA/CpsF family
TIGR03377	glycerol-3-phosphate dehydrogenase, anaerobic, A subunit
TIGR03378	glycerol-3-phosphate dehydrogenase, anaerobic, B subunit
TIGR01802	chorismate mutase
TIGR01421	glutathione-disulfide reductase
TIGR01123	branched-chain amino acid aminotransferase
TIGR03630	archaeal ribosomal protein S17P
TIGR01827	putative Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase, subunit C
TIGR02460	mannosyl-3-phosphoglycerate synthase
TIGR01024	ribosomal protein L19
TIGR01581	NifC-like ABC-type porter
TIGR01046	ribosomal protein S10
TIGR01855	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
TIGR00080	protein-L-isoaspartate O-methyltransferase
TIGR01088	3-dehydroquinate dehydratase, type II
TIGR01137	cystathionine beta-synthase
TIGR00250	RNAse H-fold protein YqgF
TIGR01169	ribosomal protein L1
TIGR02219	putative phage cell wall peptidase, NlpC/P60 family
TIGR03698	clan AA aspartic protease, AF_0612 family
TIGR00087	5'/3'-nucleotidase SurE
TIGR02057	phosphoadenosine phosphosulfate reductase
TIGR00992	chloroplast envelope protein translocase, IAP75 family
TIGR00649	conserved hypothetical protein
TIGR03296	M6 family metalloprotease domain
TIGR03561	peroxiredoxin, Ohr subfamily
TIGR03460	carotene biosynthesis associated membrane protein
TIGR03149	cytochrome c nitrite reductase, Fe-S protein
TIGR01223	phosphomevalonate kinase
TIGR01441	GPR endopeptidase
TIGR01992	PTS system, trehalose-specific IIBC component
TIGR03744	conjugative transfer ATPase, PFL_4706 family
TIGR00809	protein-export chaperone SecB
TIGR00372	CRISPR-associated protein Cas4
TIGR01222	septum site-determining protein MinC
TIGR01817	Nif-specific regulatory protein
TIGR00360	ComEC/Rec2-related protein
TIGR01107	Na+/K+ ATPase, beta subunit
TIGR02354	thiamine biosynthesis protein ThiF
TIGR00157	ribosome small subunit-dependent GTPase A
TIGR02791	P-type DNA transfer protein VirB5
TIGR02169	chromosome segregation protein SMC
TIGR01763	malate dehydrogenase, NAD-dependent
TIGR00344	alanine--tRNA ligase
TIGR01355	cytidine deaminase
TIGR02775	P-type conjugative transfer protein TrbG
TIGR03603	bacteriocin biosynthesis cyclodehydratase, SagC family
TIGR01525	heavy metal translocating P-type ATPase
TIGR02482	6-phosphofructokinase
TIGR02421	conserved hypothetical protein
TIGR00791	transporter, gluconate:H+ symporter (GntP) family
TIGR03855	aspartate dehydrogenase
TIGR01952	NusA family KH domain protein, archaeal
TIGR01728	ABC transporter, substrate-binding protein, aliphatic sulfonates family
TIGR01982	2-polyprenylphenol 6-hydroxylase
TIGR01508	diaminohydroxyphosphoribosylaminopyrimidine reductase
TIGR01813	flavocytochrome c
TIGR00805	sodium-independent organic anion transporter
TIGR02722	uncharacterized lipoprotein
TIGR03604	bacteriocin biosynthesis docking scaffold, SagD family
TIGR01378	thiamine pyrophosphokinase
TIGR00339	sulfate adenylyltransferase
TIGR02091	glucose-1-phosphate adenylyltransferase
TIGR03390	L-ascorbate oxidase
TIGR00291	rRNA metabolism protein, SBDS family
TIGR01074	ATP-dependent DNA helicase Rep
TIGR01657	P-type ATPase of unknown pump specificity (type V)
TIGR03411	urea ABC transporter, ATP-binding protein UrtD
TIGR01634	phage tail protein I
TIGR03348	type VI secretion protein IcmF
TIGR03476	putative membrane protein
TIGR00107	purine nucleoside phosphorylase
TIGR00212	porphobilinogen deaminase
TIGR03745	integrating conjugative element membrane protein, PFL_4702 family
TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein
TIGR00867	degenerin
TIGR02559	type III secretion protein HrpB7
TIGR00330	fructose-1,6-bisphosphatase, class II
TIGR02640	gas vesicle protein GvpN
TIGR00127	isocitrate dehydrogenase, NADP-dependent
TIGR00987	integration host factor, alpha subunit
TIGR00826	PTS system, glucose-like IIB component
TIGR00432	archaeosine tRNA-ribosyltransferase
TIGR03839	adhesin P1
TIGR02003	PTS system, IIBC component
TIGR01966	ribonuclease PH
TIGR03829	uncharacterized protein, YokU family
TIGR01017	ribosomal protein S4
TIGR03120	methenyltetrahydromethanopterin cyclohydrolase
TIGR01113	tetrahydromethanopterin S-methyltransferase, subunit E
TIGR02032	geranylgeranyl reductase family
TIGR02504	ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent
TIGR01694	methylthioadenosine phosphorylase
TIGR02558	type III secretion protein HrpB2
TIGR01627	uncharacterized plant-specific domain TIGR01627
TIGR00046	RNA methyltransferase, RsmE family
TIGR00963	preprotein translocase, SecA subunit
TIGR03092	small, acid-soluble spore protein I
TIGR01282	nitrogenase molybdenum-iron protein alpha chain
TIGR03514	gliding motility-associated lipoprotein GldB
TIGR02690	arsenical resistance protein ArsH
TIGR00498	repressor LexA
TIGR02230	putative F0F1-ATPase subunit
TIGR02301	conserved hypothetical protein TIGR02301
TIGR03546	conserved hypothetical protein TIGR03546
TIGR03600	phage replicative helicase, DnaB family
TIGR02846	RNA polymerase sigma-K factor
TIGR02594	conserved hypothetical protein TIGR02594
TIGR02755	type-F conjugative transfer system pilin acetylase TraX
TIGR01311	glycerol kinase
TIGR02281	clan AA aspartic protease, TIGR02281 family
TIGR00721	DNA-binding protein, Tfx family
TIGR01679	FAD-linked oxidoreductase
TIGR03609	polysaccharide pyruvyl transferase CsaB
TIGR01574	tRNA-i(6)A37 thiotransferase enzyme MiaB
TIGR03085	conserved hypothetical protein TIGR03085
TIGR03058	chlorosome envelope protein H
TIGR00064	signal recognition particle-docking protein FtsY
TIGR02578	CRISPR-associated protein, Csm1 family
TIGR02563	CRISPR-associated protein, Csy4 family
TIGR03336	indolepyruvate ferredoxin oxidoreductase, alpha subunit
TIGR00336	orotate phosphoribosyltransferase
TIGR00283	peptidyl-tRNA hydrolase
TIGR02915	putative PEP-CTERM system response regulator
TIGR03765	integrating conjugative element protein, PFL_4695 family
TIGR03699	menaquinone biosynthesis protein, SCO4550 family
TIGR01522	calcium-transporting P-type ATPase, PMR1-type
TIGR00565	anthranilate synthase component I
TIGR02172	Fibrobacter succinogenes paralogous family TIGR02172
TIGR00869	protein translocation protein, Sec62 family
TIGR02990	ectoine utilization protein EutA
TIGR00771	transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family
TIGR03725	universal bacterial protein YeaZ
TIGR00284	dihydropteroate synthase-related protein
TIGR01740	orotidine 5'-phosphate decarboxylase
TIGR01247	daunorubicin resistance ABC transporter membrane protein
TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase
TIGR02000	Fe-S cluster assembly protein NifU
TIGR00224	phosphoenolpyruvate carboxykinase (ATP)
TIGR03125	triphosphoribosyl-dephospho-CoA synthase CitG
TIGR03104	asparagine synthase family amidotransferase
TIGR00227	riboflavin-specific deaminase C-terminal domain
TIGR01447	exodeoxyribonuclease V, alpha subunit
TIGR01212	radical SAM protein, TIGR01212 family
TIGR02130	dihydrodipicolinate reductase
TIGR00829	PTS system, Fru family, IIB component
TIGR02748	heptaprenyl diphosphate synthase component II
TIGR00895	MFS transporter, aromatic acid:H+ symporter (AAHS) family
TIGR02871	sporulation integral membrane protein YlbJ
TIGR02912	sulfite reductase, subunit C
TIGR01660	nitrate reductase, beta subunit
TIGR00217	4-alpha-glucanotransferase
TIGR01738	putative pimeloyl-BioC--CoA transferase BioH
TIGR00171	3-isopropylmalate dehydratase, small subunit
TIGR01600	phage minor tail protein L
TIGR01214	dTDP-4-dehydrorhamnose reductase
TIGR01907	CRISPR system CASCADE complex protein CasE
TIGR03093	small, acid-soluble spore protein L
TIGR02477	diphosphate--fructose-6-phosphate 1-phosphotransferase
TIGR02924	isocitrate dehydrogenase
TIGR00589	methylated-DNA-[protein]-cysteine S-methyltransferase
TIGR02721	thiamine kinase
TIGR00750	LAO/AO transport system ATPase
TIGR00193	urease, gamma subunit
TIGR02403	alpha,alpha-phosphotrehalase
TIGR02483	phosphofructokinase
TIGR00611	DNA replication and repair protein RecF
TIGR00606	rad50
TIGR01329	cystathionine beta-lyase
TIGR03584	pseudaminic acid CMP-transferase
TIGR01047	carboxynorspermidine decarboxylase
TIGR00702	uncharacterized domain
TIGR00040	phosphodiesterase, MJ0936 family
TIGR03819	helicase/secretion neighborhood ATPase
TIGR00792	sugar (Glycoside-Pentoside-Hexuronide) transporter
TIGR02536	ethanolamine utilization protein
TIGR02045	ADP-specific phosphofructokinase
TIGR03066	Gemmata obscuriglobus paralogous family TIGR03066
TIGR00682	tetraacyldisaccharide 4'-kinase
TIGR00037	translation initiation factor eIF-5A
TIGR03493	celllulose biosynthesis operon protein BcsF/YhjT
TIGR00719	L-serine dehydratase, iron-sulfur-dependent, beta subunit
TIGR02982	ABC exporter ATP-binding subunit, DevA family
TIGR00221	N-acetylglucosamine-6-phosphate deacetylase
TIGR03232	benzoate 1,2-dioxygenase, small subunit
TIGR02262	benzoate-CoA ligase family
TIGR03345	type VI secretion ATPase, ClpV1 family
TIGR01743	pur operon repressor
TIGR01303	IMP dehydrogenase family protein
TIGR00489	translation elongation factor aEF-1 beta
TIGR03844	cysteate synthase
TIGR02595	PEP-CTERM putative exosortase interaction domain
TIGR00190	thiamine biosynthesis protein ThiC
TIGR02124	hydrogenase expression/formation protein HypE
TIGR00605	DNA repair protein rad4
TIGR02277	phenylacetic acid degradation operon negative regulatory protein PaaX
TIGR01737	phosphoribosylformylglycinamidine synthase I
TIGR03334	indolepyruvate ferredoxin oxidoreductase, beta subunit
TIGR01753	flavodoxin
TIGR03395	sphingomyelin phosphodiesterase
TIGR01785	TonB-dependent heme/hemoglobin receptor family protein
TIGR01268	phenylalanine-4-hydroxylase
TIGR03416	choline ABC transporter, permease protein
TIGR01676	galactonolactone dehydrogenase
TIGR00937	chromate transporter, chromate ion transporter (CHR) family
TIGR01625	AspT/YidE/YbjL antiporter duplication domain
TIGR00277	uncharacterized domain HDIG
TIGR02325	phosphonate metabolism transcriptional regulator PhnF
TIGR00327	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic
TIGR03534	protein-(glutamine-N5) methyltransferase, release factor-specific
TIGR03757	integrating conjugative element protein, PFL_4709 family
TIGR02144	Lysine biosynthesis enzyme LysX
TIGR00090	iojap-like ribosome-associated protein
TIGR03831	YgiT-type zinc finger domain
TIGR00407	glutamate-5-semialdehyde dehydrogenase
TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase
TIGR00830	PTS system, glucose subfamily, IIA component
TIGR02961	allantoicase
TIGR01350	dihydrolipoyl dehydrogenase
TIGR03133	malonate decarboxylase, beta subunit
TIGR00170	3-isopropylmalate dehydratase, large subunit
TIGR01938	NADH:ubiquinone oxidoreductase, Na(+)-translocating, C subunit
TIGR03209	transcriptional regulator BotR, P-21
TIGR00126	deoxyribose-phosphate aldolase
TIGR02251	Dullard-like phosphatase domain
TIGR00918	transmembrane receptor Patched
TIGR00188	ribonuclease P protein component
TIGR00938	homoserine kinase
TIGR02197	ADP-glyceromanno-heptose 6-epimerase
TIGR01287	nitrogenase iron protein
TIGR02979	phage shock protein PspD
TIGR02051	Hg(II)-responsive transcriptional regulator
TIGR01606	holin, BlyA family
TIGR01325	O-succinylhomoserine sulfhydrylase
TIGR01276	thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
TIGR02837	stage II sporulation protein R
TIGR00354	DNA polymerase II, large subunit DP2
TIGR00214	lipoyl(octanoyl) transferase
TIGR00485	translation elongation factor Tu
TIGR00798	tricarboxylate carrier
TIGR02087	3-isopropylmalate dehydratase, small subunit
TIGR01426	glycosyltransferase, MGT family
TIGR03150	beta-ketoacyl-acyl-carrier-protein synthase II
TIGR02980	RNA polymerase sigma-70 factor, sigma-B/F/G subfamily
TIGR00686	putative alkylphosphonate utilization operon protein PhnA
TIGR00236	UDP-N-acetylglucosamine 2-epimerase
TIGR03284	thymidylate synthase
TIGR00439	putative protein insertion permease FtsX
TIGR00225	C-terminal processing peptidase
TIGR02459	cobalt transporter subunit CbtB (proposed)
TIGR03797	NHPM bacteriocin system ABC transporter, ATP-binding protein
TIGR01671	phage conserved hypothetical protein TIGR01671
TIGR00314	CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit
TIGR02207	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase
TIGR01128	DNA polymerase III, delta subunit
TIGR02332	4-hydroxyphenylacetate permease
TIGR03665	arCOG04150 universal archaeal KH domain protein
TIGR03521	gliding-associated putative ABC transporter substrate-binding component GldG
TIGR01182	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase
