PFAM_ACC	PFAM_Name	PFAM_desc
pfam00570	HRDC	HRDC domain
pfam13638	PIN_4	PIN domain
pfam17216	Rrp44_CSD1	Rrp44-like cold shock domain
pfam00773	RNB	RNB domain
pfam17215	Rrp44_S1	S1 domain
pfam03731	Ku_N	Ku70/Ku80 N-terminal alpha/beta domain
pfam02735	Ku	Ku70/Ku80 beta-barrel domain
pfam03730	Ku_C	Ku70/Ku80 C-terminal arm
pfam14396	CFTR_R	Cystic fibrosis TM conductance regulator (CFTR), regulator domain
pfam08238	Sel1	Sel1 repeat
pfam00162	PGK	Phosphoglycerate kinase
pfam00808	CBFD_NFYB_HMF	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
pfam02813	Retro_M	Retroviral M domain
pfam03443	Glyco_hydro_61	Glycosyl hydrolase family 61
pfam12052	VGCC_beta4Aa_N	Voltage gated calcium channel subunit beta domain 4Aa N terminal
pfam06512	Na_trans_assoc	Sodium ion transport-associated
pfam03139	AnfG_VnfG	Vanadium/alternative nitrogenase delta subunit
pfam00125	Histone	Core histone H2A/H2B/H3/H4
pfam15511	CENP-T_C	Centromere kinetochore component CENP-T histone fold
pfam16211	Histone_H2A_C	C-terminus of histone H2A
pfam01466	Skp1	Skp1 family, dimerisation domain
pfam12937	F-box-like	F-box-like
pfam12327	FtsZ_C	FtsZ family, C-terminal domain
pfam17536	Mx_ML	Matrix and Matrix long proteins N-terminal
pfam00009	GTP_EFTU	Elongation factor Tu GTP binding domain
pfam03144	GTP_EFTU_D2	Elongation factor Tu domain 2
pfam03143	GTP_EFTU_D3	Elongation factor Tu C-terminal domain
pfam00736	EF1_GNE	EF-1 guanine nucleotide exchange domain
pfam07068	Gp23	Major capsid protein Gp23
pfam16855	Soc	Small outer capsid protein
pfam01426	BAH	BAH domain
pfam00423	HN	Haemagglutinin-neuraminidase
pfam14720	NiFe_hyd_SSU_C	NiFe/NiFeSe hydrogenase small subunit C-terminal
pfam03705	CheR_N	CheR methyltransferase, all-alpha domain
pfam07238	PilZ	PilZ domain
pfam12680	SnoaL_2	SnoaL-like domain
pfam02893	GRAM	GRAM domain
pfam06602	Myotub-related	Myotubularin-like phosphatase domain
pfam00768	Peptidase_S11	D-alanyl-D-alanine carboxypeptidase
pfam02261	Asp_decarbox	Aspartate decarboxylase
pfam12568	DUF3749	Acetyltransferase (GNAT) domain
pfam17070	Thx	30S ribosomal protein Thx
pfam00545	Ribonuclease	ribonuclease
pfam02367	TsaE	Threonylcarbamoyl adenosine biosynthesis protein TsaE
pfam14843	GF_recep_IV	Growth factor receptor domain IV
pfam08032	SpoU_sub_bind	RNA 2'-O ribose methyltransferase substrate binding
pfam00588	SpoU_methylase	SpoU rRNA Methylase family
pfam13833	EF-hand_8	EF-hand domain pair
pfam09339	HTH_IclR	IclR helix-turn-helix domain
pfam01614	IclR	Bacterial transcriptional regulator
pfam03734	YkuD	L,D-transpeptidase catalytic domain
pfam03664	Glyco_hydro_62	Glycosyl hydrolase family 62
pfam02469	Fasciclin	Fasciclin domain
pfam01113	DapB_N	Dihydrodipicolinate reductase, N-terminus
pfam05173	DapB_C	Dihydrodipicolinate reductase, C-terminus
pfam09408	Spike_rec_bind	Spike receptor binding domain
pfam01065	Adeno_hexon	Hexon, adenovirus major coat protein, N-terminal domain
pfam03678	Adeno_hexon_C	Hexon, adenovirus major coat protein, C-terminal domain
pfam01686	Adeno_Penton_B	Adenovirus penton base protein
pfam02455	Hex_IIIa	Hexon-associated protein (IIIa)
pfam01310	Adeno_PVIII	Adenovirus hexon associated protein, protein VIII
pfam03955	Adeno_PIX	Adenovirus hexon-associated protein (IX)
pfam02993	MCPVI	Minor capsid protein VI
pfam00436	SSB	Single-strand binding protein family
pfam00397	WW	WW domain
pfam00632	HECT	HECT-domain (ubiquitin-transferase)
pfam00068	Phospholip_A2_1	Phospholipase A2
pfam06090	Ins_P5_2-kin	Inositol-pentakisphosphate 2-kinase
pfam02758	PYRIN	PAAD/DAPIN/Pyrin domain
pfam01789	PsbP	PsbP
pfam05757	PsbQ	Oxygen evolving enhancer protein 3 (PsbQ)
pfam00992	Troponin	Troponin
pfam10345	Cohesin_load	Cohesin loading factor
pfam01297	ZnuA	Zinc-uptake complex component A periplasmic
pfam12799	LRR_4	Leucine Rich repeats (2 copies)
pfam08191	LRR_adjacent	LRR adjacent
pfam03477	ATP-cone	ATP cone domain
pfam00317	Ribonuc_red_lgN	Ribonucleotide reductase, all-alpha domain
pfam02867	Ribonuc_red_lgC	Ribonucleotide reductase, barrel domain
pfam07500	TFIIS_M	Transcription factor S-II (TFIIS), central domain
pfam02126	PTE	Phosphotriesterase family
pfam13689	DUF4154	Domain of unknown function (DUF4154)
pfam12399	BCA_ABC_TP_C	Branched-chain amino acid ATP-binding cassette transporter
pfam03739	YjgP_YjgQ	Predicted permease YjgP/YjgQ family
pfam00100	Zona_pellucida	Zona pellucida-like domain
pfam14633	SH2_2	SH2 domain
pfam02226	Pico_P1A	Picornavirus coat protein (VP4)
pfam12850	Metallophos_2	Calcineurin-like phosphoesterase superfamily domain
pfam08460	SH3_5	Bacterial SH3 domain
pfam00722	Glyco_hydro_16	Glycosyl hydrolases family 16
pfam00565	SNase	Staphylococcal nuclease homologue
pfam13676	TIR_2	TIR domain
pfam00760	Cucumo_coat	Cucumovirus coat protein
pfam13393	tRNA-synt_His	Histidyl-tRNA synthetase
pfam05014	Nuc_deoxyrib_tr	Nucleoside 2-deoxyribosyltransferase
pfam03145	Sina	Seven in absentia protein family
pfam00696	AA_kinase	Amino acid kinase family
pfam12738	PTCB-BRCT	twin BRCT domain
pfam00756	Esterase	Putative esterase
pfam01428	zf-AN1	AN1-like Zinc finger
pfam01592	NifU_N	NifU-like N terminal domain
pfam00149	Metallophos	Calcineurin-like phosphoesterase
pfam00160	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
pfam06457	Ectatomin	Ectatomin
pfam09199	SSL_OB	Staphylococcal superantigen-like OB-fold domain
pfam02876	Stap_Strp_tox_C	Staphylococcal/Streptococcal toxin, beta-grasp domain
pfam04433	SWIRM	SWIRM domain
pfam00249	Myb_DNA-binding	Myb-like DNA-binding domain
pfam02180	BH4	Bcl-2 homology region 4
pfam07938	Fungal_lectin	Fungal fucose-specific lectin
pfam00012	HSP70	Hsp70 protein
pfam01613	Flavin_Reduct	Flavin reductase like domain
pfam00947	Pico_P2A	Picornavirus core protein 2A
pfam01804	Penicil_amidase	Penicillin amidase
pfam00375	SDF	Sodium:dicarboxylate symporter family
pfam00687	Ribosomal_L1	Ribosomal protein L1p/L10e family
pfam01912	eIF-6	eIF-6 family
pfam06858	NOG1	Nucleolar GTP-binding protein 1 (NOG1)
pfam08154	NLE	NLE (NUC135) domain
pfam07885	Ion_trans_2	Ion channel
pfam00054	Laminin_G_1	Laminin G domain
pfam00906	Hepatitis_core	Hepatitis core antigen
pfam14789	THDPS_M	Tetrahydrodipicolinate N-succinyltransferase middle
pfam01638	HxlR	HxlR-like helix-turn-helix
pfam00933	Glyco_hydro_3	Glycosyl hydrolase family 3 N terminal domain
pfam01915	Glyco_hydro_3_C	Glycosyl hydrolase family 3 C-terminal domain
pfam14310	Fn3-like	Fibronectin type III-like domain
pfam05222	AlaDh_PNT_N	Alanine dehydrogenase/PNT, N-terminal domain
pfam01262	AlaDh_PNT_C	Alanine dehydrogenase/PNT, C-terminal domain
pfam02233	PNTB	NAD(P) transhydrogenase beta subunit
pfam00817	IMS	impB/mucB/samB family
pfam11798	IMS_HHH	IMS family HHH motif
pfam03747	ADP_ribosyl_GH	ADP-ribosylglycohydrolase
pfam00030	Crystall	Beta/Gamma crystallin
pfam03496	ADPrib_exo_Tox	ADP-ribosyltransferase exoenzyme
pfam00730	HhH-GPD	HhH-GPD superfamily base excision DNA repair protein
pfam00633	HHH	Helix-hairpin-helix motif
pfam03088	Str_synth	Strictosidine synthase
pfam13920	zf-C3HC4_3	Zinc finger, C3HC4 type (RING finger)
pfam00752	XPG_N	XPG N-terminal domain
pfam00867	XPG_I	XPG I-region
pfam00705	PCNA_N	Proliferating cell nuclear antigen, N-terminal domain
pfam02747	PCNA_C	Proliferating cell nuclear antigen, C-terminal domain
pfam14620	YPEB	YpeB sporulation
pfam03413	PepSY	Peptidase propeptide and YPEB domain
pfam12697	Abhydrolase_6	Alpha/beta hydrolase family
pfam01766	Birna_VP2	Birnavirus VP2 protein
pfam08123	DOT1	Histone methylation protein DOT1
pfam00307	CH	Calponin homology (CH) domain
pfam05159	Capsule_synth	Capsule polysaccharide biosynthesis protein
pfam00528	BPD_transp_1	Binding-protein-dependent transport system inner membrane component
pfam03459	TOBE	TOBE domain
pfam07691	PA14	PA14 domain
pfam03495	Binary_toxB	Clostridial binary toxin B/anthrax toxin PA Ca-binding domain
pfam17475	Binary_toxB_2	Clostridial binary toxin B/anthrax toxin PA domain 2
pfam17476	Binary_toxB_3	Clostridial binary toxin B/anthrax toxin PA domain 3
pfam00718	Polyoma_coat	Polyomavirus coat protein
pfam01791	DeoC	DeoC/LacD family aldolase
pfam08501	Shikimate_dh_N	Shikimate dehydrogenase substrate binding domain
pfam14200	RicinB_lectin_2	Ricin-type beta-trefoil lectin domain-like
pfam05588	Botulinum_HA-17	Clostridium botulinum HA-17 domain
pfam00915	Calici_coat	Calicivirus coat protein
pfam03099	BPL_LplA_LipB	Biotin/lipoate A/B protein ligase family
pfam03641	Lysine_decarbox	Possible lysine decarboxylase
pfam00885	DMRL_synthase	6,7-dimethyl-8-ribityllumazine synthase
pfam00348	polyprenyl_synt	Polyprenyl synthetase
pfam02920	Integrase_DNA	DNA binding domain of tn916 integrase
pfam04300	FBA	F-box associated region
pfam00540	Gag_p17	gag gene protein p17 (matrix protein)
pfam01510	Amidase_2	N-acetylmuramoyl-L-alanine amidase
pfam13517	VCBS	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella
pfam02018	CBM_4_9	Carbohydrate binding domain
pfam01569	PAP2	PAP2 superfamily
pfam02016	Peptidase_S66	LD-carboxypeptidase
pfam01661	Macro	Macro domain
pfam00605	IRF	Interferon regulatory factor transcription factor
pfam00781	DAGK_cat	Diacylglycerol kinase catalytic domain
pfam02359	CDC48_N	Cell division protein 48 (CDC48), N-terminal domain
pfam03426	CBM_15	Carbohydrate binding domain (family 15)
pfam08717	nsp8	nsp8 replicase
pfam08716	nsp7	nsp7 replicase
pfam09754	PAC2	PAC2 family
pfam06369	Anemone_cytotox	Sea anemone cytotoxic protein
pfam02374	ArsA_ATPase	Anion-transporting ATPase
pfam04420	CHD5	CHD5-like protein
pfam11987	IF-2	Translation-initiation factor 2
pfam16320	Ribosomal_L12_N	Ribosomal protein L7/L12 dimerisation domain
pfam00542	Ribosomal_L12	Ribosomal protein L7/L12 C-terminal domain
pfam06689	zf-C4_ClpX	ClpX C4-type zinc finger
pfam00209	SNF	Sodium:neurotransmitter symporter family
pfam09078	CheY-binding	CheY binding
pfam03571	Peptidase_M49	Peptidase family M49
pfam01966	HD	HD domain
pfam05374	Mu-conotoxin	Mu-Conotoxin
pfam01053	Cys_Met_Meta_PP	Cys/Met metabolism PLP-dependent enzyme
pfam09160	FimH_man-bind	FimH, mannose binding
pfam00141	peroxidase	Peroxidase
pfam07525	SOCS_box	SOCS box
pfam14842	FliG_N	FliG N-terminal domain
pfam00937	Corona_nucleoca	Coronavirus nucleocapsid protein
pfam16871	DUF5077	Domain of unknown function (DUF5077)
pfam11958	DUF3472	Domain of unknown function (DUF3472)
pfam03422	CBM_6	Carbohydrate binding module (family 6)
pfam00039	fn1	Fibronectin type I domain
pfam11563	Protoglobin	Protoglobin
pfam02335	Cytochrom_C552	Cytochrome c552
pfam00092	VWA	von Willebrand factor type A domain
pfam02511	Thy1	Thymidylate synthase complementing protein
pfam12985	DUF3869	Domain of unknown function (DUF3869)
pfam02113	Peptidase_S13	D-Ala-D-Ala carboxypeptidase 3 (S13) family
pfam01108	Tissue_fac	Tissue factor
pfam09294	Interfer-bind	Interferon-alpha/beta receptor, fibronectin type III
pfam00143	Interferon	Interferon alpha/beta domain
pfam01909	NTP_transf_2	Nucleotidyltransferase domain
pfam09249	tRNA_NucTransf2	tRNA nucleotidyltransferase, second domain
pfam06506	PrpR_N	Propionate catabolism activator
pfam08356	EF_assoc_2	EF hand associated
pfam08355	EF_assoc_1	EF hand associated
pfam08543	Phos_pyr_kin	Phosphomethylpyrimidine kinase
pfam07299	EF-G-binding_N	Elongation factor G-binding protein, N-terminal
pfam16571	FBP_C	FBP C-terminal treble-clef zinc-finger
pfam02729	OTCace_N	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
pfam00185	OTCace	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
pfam01948	PyrI	Aspartate carbamoyltransferase regulatory chain, allosteric domain
pfam02748	PyrI_C	Aspartate carbamoyltransferase regulatory chain, metal binding domain
pfam01036	Bac_rhodopsin	Bacteriorhodopsin-like protein
pfam12563	Hemolysin_N	Hemolytic toxin N terminal
pfam07968	Leukocidin	Leukocidin/Hemolysin toxin family
pfam16458	Beta-prism_lec	Beta-prism lectin
pfam13277	YmdB	YmdB-like protein
pfam01082	Cu2_monooxygen	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
pfam03712	Cu2_monoox_C	Copper type II ascorbate-dependent monooxygenase, C-terminal domain
pfam02670	DXP_reductoisom	1-deoxy-D-xylulose 5-phosphate reductoisomerase
pfam08436	DXP_redisom_C	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal
pfam13288	DXPR_C	DXP reductoisomerase C-terminal domain
pfam09092	Lyase_N	Lyase, N terminal
pfam09093	Lyase_catalyt	Lyase, catalytic
pfam02278	Lyase_8	Polysaccharide lyase family 8, super-sandwich domain
pfam15913	Furin-like_2	Furin-like repeat, cysteine-rich
pfam03968	OstA	OstA-like protein
pfam02820	MBT	mbt repeat
pfam04272	Phospholamban	Phospholamban
pfam00496	SBP_bac_5	Bacterial extracellular solute-binding proteins, family 5 Middle
pfam12802	MarR_2	MarR family
pfam01330	RuvA_N	RuvA N terminal domain
pfam14520	HHH_5	Helix-hairpin-helix domain
pfam07499	RuvA_C	RuvA, C-terminal domain
pfam00367	PTS_EIIB	phosphotransferase system, EIIB
pfam01451	LMWPc	Low molecular weight phosphotyrosine protein phosphatase
pfam05459	Herpes_UL69	Herpesvirus transcriptional regulator family
pfam08881	CVNH	CVNH domain
pfam06560	GPI	Glucose-6-phosphate isomerase (GPI)
pfam02928	zf-C5HC2	C5HC2 zinc finger
pfam12917	HD_2	HD containing hydrolase-like enzyme
pfam00853	Runt	Runt domain
pfam00178	Ets	Ets-domain
pfam07993	NAD_binding_4	Male sterility protein
pfam13411	MerR_1	MerR HTH family regulatory protein
pfam14570	zf-RING_4	RING/Ubox like zinc-binding domain
pfam01926	MMR_HSR1	50S ribosome-binding GTPase
pfam16897	MMR_HSR1_Xtn	C-terminal region of MMR_HSR1 domain
pfam02824	TGS	TGS domain
pfam16543	DFRP_C	DRG Family Regulatory Proteins, Tma46
pfam01187	MIF	Macrophage migration inhibitory factor (MIF)
pfam00161	RIP	Ribosome inactivating protein
pfam00051	Kringle	Kringle domain
pfam00503	G-alpha	G-protein alpha subunit
pfam00285	Citrate_synt	Citrate synthase, C-terminal domain
pfam01835	A2M_N	MG2 domain
pfam07703	A2M_N_2	Alpha-2-macroglobulin family N-terminal region
pfam00207	A2M	Alpha-2-macroglobulin family
pfam10569	Thiol-ester_cl	Alpha-macro-globulin thiol-ester bond-forming region
pfam07678	A2M_comp	A-macroglobulin complement component
pfam07677	A2M_recep	A-macroglobulin receptor
pfam01759	NTR	UNC-6/NTR/C345C module
pfam00084	Sushi	Sushi repeat (SCR repeat)
pfam02838	Glyco_hydro_20b	Glycosyl hydrolase family 20, domain 2
pfam00728	Glyco_hydro_20	Glycosyl hydrolase family 20, catalytic domain
pfam16884	ADH_N_2	N-terminal domain of oxidoreductase
pfam04057	Rep-A_N	Replication factor-A protein 1, N-terminal domain
pfam00881	Nitroreductase	Nitroreductase family
pfam04014	MazE_antitoxin	Antidote-toxin recognition MazE, bacterial antitoxin
pfam10564	MAR_sialic_bdg	Sialic-acid binding micronemal adhesive repeat
pfam01373	Glyco_hydro_14	Glycosyl hydrolase family 14
pfam00644	PARP	Poly(ADP-ribose) polymerase catalytic domain
pfam02225	PA	PA domain
pfam04253	TFR_dimer	Transferrin receptor-like dimerisation domain
pfam00793	DAHP_synth_1	DAHP synthetase I family
pfam05087	Rota_VP2	Rotavirus VP2 protein
pfam00980	Rota_Capsid_VP6	Rotavirus major capsid protein VP6
pfam16629	Arm_APC_u3	Armadillo-associated region on APC
pfam02946	GTF2I	GTF2I-like repeat
pfam00478	IMPDH	IMP dehydrogenase / GMP reductase domain
pfam11458	Mistic	Membrane-integrating protein Mistic
pfam00126	HTH_1	Bacterial regulatory helix-turn-helix protein, lysR family
pfam00548	Peptidase_C3	3C cysteine protease (picornain 3C)
pfam03246	Pneumo_ncap	Pneumovirus nucleocapsid protein
pfam02618	YceG	YceG-like family
pfam02221	E1_DerP2_DerF2	ML domain
pfam00059	Lectin_C	Lectin C-type domain
pfam05622	HOOK	HOOK protein
pfam07449	HyaE	Hydrogenase-1 expression protein HyaE
pfam00709	Adenylsucc_synt	Adenylosuccinate synthetase
pfam06153	CdAMP_rec	Cyclic-di-AMP receptor
pfam05859	Mis12	Mis12 protein
pfam03980	Nnf1	Nnf1
pfam08202	MIS13	Mis12-Mtw1 protein family
pfam08641	Mis14	Kinetochore protein Mis14 like
pfam15622	CENP_C_N	Kinetochore assembly subunit CENP-C N-terminal
pfam08502	LeuA_dimer	LeuA allosteric (dimerisation) domain
pfam08718	GLTP	Glycolipid transfer protein (GLTP)
pfam00537	Toxin_3	Scorpion toxin-like domain
pfam02087	Nitrophorin	Nitrophorin
pfam12831	FAD_oxidored	FAD dependent oxidoreductase
pfam01571	GCV_T	Aminomethyltransferase folate-binding domain
pfam08669	GCV_T_C	Glycine cleavage T-protein C-terminal barrel domain
pfam01266	DAO	FAD dependent oxidoreductase
pfam04268	SoxG	Sarcosine oxidase, gamma subunit family
pfam04267	SoxD	Sarcosine oxidase, delta subunit family
pfam09138	Urm1	Urm1 (Ubiquitin related modifier)
pfam13580	SIS_2	SIS domain
pfam03399	SAC3_GANP	SAC3/GANP family
pfam04717	Phage_base_V	Type VI secretion system, phage-baseplate injector
pfam00206	Lyase_1	Lyase
pfam10415	FumaraseC_C	Fumarase C C-terminus
pfam00173	Cyt-b5	Cytochrome b5-like Heme/Steroid binding domain
pfam03441	FAD_binding_7	FAD binding domain of DNA photolyase
pfam02209	VHP	Villin headpiece domain
pfam00108	Thiolase_N	Thiolase, N-terminal domain
pfam02803	Thiolase_C	Thiolase, C-terminal domain
pfam01154	HMG_CoA_synt_N	Hydroxymethylglutaryl-coenzyme A synthase N terminal
pfam08540	HMG_CoA_synt_C	Hydroxymethylglutaryl-coenzyme A synthase C terminal
pfam08267	Meth_synt_1	Cobalamin-independent synthase, N-terminal domain
pfam01717	Meth_synt_2	Cobalamin-independent synthase, Catalytic domain
pfam07833	Cu_amine_oxidN1	Copper amine oxidase N-terminal domain
pfam02727	Cu_amine_oxidN2	Copper amine oxidase, N2 domain
pfam02728	Cu_amine_oxidN3	Copper amine oxidase, N3 domain
pfam01179	Cu_amine_oxid	Copper amine oxidase, enzyme domain
pfam14670	FXa_inhibition	Coagulation Factor Xa inhibitory site
pfam00227	Proteasome	Proteasome subunit
pfam12465	Pr_beta_C	Proteasome beta subunits C terminal
pfam10584	Proteasome_A_N	Proteasome subunit A N-terminal signature
pfam16450	Prot_ATP_ID_OB	Proteasomal ATPase OB/ID domain
pfam01625	PMSR	Peptide methionine sulfoxide reductase
pfam00547	Urease_gamma	Urease, gamma subunit
pfam00699	Urease_beta	Urease beta subunit
pfam00449	Urease_alpha	Urease alpha-subunit, N-terminal domain
pfam07081	DUF1349	Protein of unknown function (DUF1349)
pfam00080	Sod_Cu	Copper/zinc superoxide dismutase (SODC)
pfam07944	Glyco_hydro_127	Beta-L-arabinofuranosidase, GH127
pfam02833	DHHA2	DHHA2 domain
pfam00480	ROK	ROK family
pfam12900	Pyridox_ox_2	Pyridoxamine 5'-phosphate oxidase
pfam11598	COMP	Cartilage oligomeric matrix protein
pfam01077	NIR_SIR	Nitrite and sulphite reductase 4Fe-4S domain
pfam03460	NIR_SIR_ferr	Nitrite/Sulfite reductase ferredoxin-like half domain
pfam00037	Fer4	4Fe-4S binding domain
pfam04358	DsrC	DsrC like protein
pfam01746	tRNA_m1G_MT	tRNA (Guanine-1)-methyltransferase
pfam00955	HCO3_cotransp	HCO3- transporter family
pfam04729	ASF1_hist_chap	ASF1 like histone chaperone
pfam11799	IMS_C	impB/mucB/samB family C-terminal domain
pfam00498	FHA	FHA domain
pfam02085	Cytochrom_CIII	Class III cytochrome C family
pfam00848	Ring_hydroxyl_A	Ring hydroxylating alpha subunit (catalytic domain)
pfam00866	Ring_hydroxyl_B	Ring hydroxylating beta subunit
pfam02624	YcaO	YcaO cyclodehydratase, ATP-ad Mg2+-binding
pfam01873	eIF-5_eIF-2B	Domain found in IF2B/IF5
pfam08711	Med26	TFIIS helical bundle-like domain
pfam01442	Apolipoprotein	Apolipoprotein A1/A4/E domain
pfam04231	Endonuclease_1	Endonuclease I
pfam13657	Couple_hipA	HipA N-terminal domain
pfam07804	HipA_C	HipA-like C-terminal domain
pfam13560	HTH_31	Helix-turn-helix domain
pfam00464	SHMT	Serine hydroxymethyltransferase
pfam08794	Lipoprot_C	Lipoprotein GNA1870 C terminal like
pfam00928	Adap_comp_sub	Adaptor complexes medium subunit family
pfam00834	Ribul_P_3_epim	Ribulose-phosphate 3 epimerase family
pfam00890	FAD_binding_2	FAD binding domain
pfam02910	Succ_DH_flav_C	Fumarate reductase flavoprotein C-term
pfam13085	Fer2_3	2Fe-2S iron-sulfur cluster binding domain
pfam13534	Fer4_17	4Fe-4S dicluster domain
pfam01127	Sdh_cyt	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
pfam05328	CybS	CybS, succinate dehydrogenase cytochrome B small subunit
pfam11953	DUF3470	Domain of unknown function (DUF3470)
pfam01408	GFO_IDH_MocA	Oxidoreductase family, NAD-binding Rossmann fold
pfam09150	Carot_N	Orange carotenoid protein, N-terminal
pfam02136	NTF2	Nuclear transport factor 2 (NTF2) domain
pfam17125	Methyltr_RsmF_N	N-terminal domain of 16S rRNA methyltransferase RsmF
pfam01189	Methyltr_RsmB-F	16S rRNA methyltransferase RsmB/F
pfam08545	ACP_syn_III	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
pfam08541	ACP_syn_III_C	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
pfam03610	EIIA-man	PTS system fructose IIA component
pfam07208	DUF1414	Protein of unknown function (DUF1414)
pfam01359	Transposase_1	Transposase (partial DDE domain)
pfam00656	Peptidase_C14	Caspase domain
pfam02825	WWE	WWE domain
pfam02776	TPP_enzyme_N	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
pfam00205	TPP_enzyme_M	Thiamine pyrophosphate enzyme, central domain
pfam02775	TPP_enzyme_C	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
pfam01239	PPTA	Protein prenyltransferase alpha subunit repeat
pfam00432	Prenyltrans	Prenyltransferase and squalene oxidase repeat
pfam02207	zf-UBR	Putative zinc finger in N-recognin (UBR box)
pfam02421	FeoB_N	Ferrous iron transport protein B
pfam16864	Dimerisation2	Dimerisation domain
pfam02885	Glycos_trans_3N	Glycosyl transferase family, helical bundle domain
pfam00591	Glycos_transf_3	Glycosyl transferase family, a/b domain
pfam13545	HTH_Crp_2	Crp-like helix-turn-helix domain
pfam02142	MGS	MGS-like domain
pfam01808	AICARFT_IMPCHas	AICARFT/IMPCHase bienzyme
pfam01023	S_100	S-100/ICaBP type calcium binding domain
pfam00036	EF-hand_1	EF hand
pfam00668	Condensation	Condensation domain
pfam03621	MbtH	MbtH-like protein
pfam02569	Pantoate_ligase	Pantoate-beta-alanine ligase
pfam10411	DsbC_N	Disulfide bond isomerase protein N-terminus
pfam13098	Thioredoxin_2	Thioredoxin-like domain
pfam11651	P22_CoatProtein	P22 coat protein - gene protein 5
pfam14575	EphA2_TM	Ephrin type-A receptor 2 transmembrane domain
pfam00301	Rubredoxin	Rubredoxin
pfam05649	Peptidase_M13_N	Peptidase family M13
pfam01431	Peptidase_M13	Peptidase family M13
pfam00111	Fer2	2Fe-2S iron-sulfur cluster binding domain
pfam00381	PTS-HPr	PTS HPr component phosphorylation site
pfam00764	Arginosuc_synth	Arginosuccinate synthase
pfam07475	Hpr_kinase_C	HPr Serine kinase C-terminal domain
pfam01112	Asparaginase_2	Asparaginase
pfam00603	Flu_PA	Influenza RNA-dependent RNA polymerase subunit PA
pfam01865	PhoU_div	Protein of unknown function DUF47
pfam02954	HTH_8	Bacterial regulatory protein, Fis family
pfam00215	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family
pfam01338	Bac_thur_toxin	Bacillus thuringiensis toxin
pfam01393	Chromo_shadow	Chromo shadow domain
pfam16546	SGTA_dimer	Homodimerisation domain of SGTA
pfam02031	Peptidase_M7	Streptomyces extracellular neutral proteinase (M7) family
pfam00199	Catalase	Catalase
pfam06628	Catalase-rel	Catalase-related immune-responsive
pfam15910	V-set_2	ICOS V-set domain
pfam00490	ALAD	Delta-aminolevulinic acid dehydratase
pfam12678	zf-rbx1	RING-H2 zinc finger domain
pfam13680	DUF4152	Protein of unknown function (DUF4152)
pfam03709	OKR_DC_1_N	Orn/Lys/Arg decarboxylase, N-terminal domain
pfam01276	OKR_DC_1	Orn/Lys/Arg decarboxylase, major domain
pfam03711	OKR_DC_1_C	Orn/Lys/Arg decarboxylase, C-terminal domain
pfam00174	Oxidored_molyb	Oxidoreductase molybdopterin binding domain
pfam03404	Mo-co_dimer	Mo-co oxidoreductase dimerisation domain
pfam02201	SWIB	SWIB/MDM2 domain
pfam16285	DUF4931	Domain of unknown function (DUF4931)
pfam14549	P22_Cro	DNA-binding transcriptional regulator Cro
pfam04175	DUF406	Protein of unknown function (DUF406)
pfam13419	HAD_2	Haloacid dehalogenase-like hydrolase
pfam02086	MethyltransfD12	D12 class N6 adenine-specific DNA methyltransferase
pfam00669	Flagellin_N	Bacterial flagellin N-terminal helical region
pfam00700	Flagellin_C	Bacterial flagellin C-terminal helical region
pfam11494	Ta0938	Ta0938
pfam09256	BaffR-Tall_bind	BAFF-R, TALL-1 binding
pfam05724	TPMT	Thiopurine S-methyltransferase (TPMT)
pfam00653	BIR	Inhibitor of Apoptosis domain
pfam07744	SPOC	SPOC domain
pfam01019	G_glu_transpept	Gamma-glutamyltranspeptidase
pfam16827	zf-HC3	zinc-finger
pfam07716	bZIP_2	Basic region leucine zipper
pfam00265	TK	Thymidine kinase
pfam01412	ArfGap	Putative GTPase activating protein for Arf
pfam05485	THAP	THAP domain
pfam06964	Alpha-L-AF_C	Alpha-L-arabinofuranosidase C-terminal domain
pfam09281	Taq-exonuc	Taq polymerase, exonuclease
pfam00476	DNA_pol_A	DNA polymerase family A
pfam05223	MecA_N	NTF2-like N-terminal transpeptidase domain
pfam01650	Peptidase_C13	Peptidase C13 family
pfam05761	5_nucleotid	5' nucleotidase family
pfam09277	Erythro-docking	Erythronolide synthase, docking
pfam00972	Flavi_NS5	Flavivirus RNA-directed RNA polymerase
pfam16499	Melibiase_2	Alpha galactosidase A
pfam13686	DrsE_2	DsrE/DsrF/DrsH-like family
pfam13848	Thioredoxin_6	Thioredoxin-like domain
pfam00262	Calreticulin	Calreticulin family
pfam07646	Kelch_2	Kelch motif
