Cid	A	B	C	D	E	NAME	FORMULA	EXACT_MASS	MOL_WEIGHT	REMARK	PubChem	ChEBI	ChEMBL	PDB.CCD	LIPIDMAPS	LipidBank	SEQUENCE
C09612	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Psychotrine	C28H36N2O4	464.2675	464.5964		11803	8622	CHEMBL463445				
C09613	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Pukateine	C18H17NO3	295.1208	295.3325		11804	8634					
C09614	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Butin;///(-)-Butin;///7,3',4'-Trihydroxyflavanone	C15H12O5	272.0685	272.2528		11805	27725	CHEMBL451168				
C09615	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Pycnamine	C37H40N2O6	608.2886	608.7233		11806	8651	CHEMBL507540				
C09616	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Butrin;///Butin 7,3'-di-O-glucoside	C27H32O15	596.1741	596.534		11807	3244					
C09616	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Butrin;///Butin 7,3'-di-O-glucoside	C27H32O15	596.1741	596.534		11807	3244					
C09617	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		Catechin 7-O-beta-D-xyloside	C20H22O10	422.1213	422.3827		11808	28117	CHEMBL102065				
C09617	Phytochemical Compounds	Flavonoids	Flavonoids	Flavan 3-ols		Catechin 7-O-beta-D-xyloside	C20H22O10	422.1213	422.3827		11808	28117	CHEMBL102065				
C09618	Lipids	PK  Polyketides	PK12 Flavonoids	PK1212 Chalcones and dihydrochalcones		Davidigenin;///4,2',4'-Trihydroxydihydrochalcone	C15H14O4	258.0892	258.2693		11809	27655	CHEMBL192877				
C09618	Phytochemical Compounds	Flavonoids	Flavonoids	Dihydrochalcones		Davidigenin;///4,2',4'-Trihydroxydihydrochalcone	C15H14O4	258.0892	258.2693		11809	27655	CHEMBL192877				
C09621	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		(-)-alpha-Bisabolol;///Levomenol	C15H26O	222.1984	222.3663		11811	125	CHEMBL1096927				
C09621	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		(-)-alpha-Bisabolol;///Levomenol	C15H26O	222.1984	222.3663		11811	125	CHEMBL1096927				
C09622	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Botrydial	C17H26O5	310.178	310.3853		11812	3159	CHEMBL476877				
C09623	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Humulenes		Buddledin A	C17H24O3	276.1725	276.3707		11813	3206	CHEMBL485981				
C09624	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Rodiasine	C38H42N2O6	622.3043	622.7499		11814	8886	CHEMBL1170881				
C09625	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		beta-Cadinene	C15H24	204.1878	204.3511		11815	27723	CHEMBL3120653				
C09625	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Cadinanes		beta-Cadinene	C15H24	204.1878	204.3511		11815	27723	CHEMBL3120653				
C09626	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Canellal;///Muzigadial	C15H20O3	248.1412	248.3175		11816	3355					
C09627	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Capsidiol	C15H24O2	236.1776	236.3499		11817	28283					
C09627	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Germacrenes		Capsidiol	C15H24O2	236.1776	236.3499		11817	28283					
C09628	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Carotol	C15H26O	222.1984	222.3663		11818	3431					
C09629	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		beta-Caryophyllene;///Caryophyllene;///(-)-beta-Caryophyllene	C15H24	204.1878	204.3511		11819	10357	CHEMBL445740				
C09629	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Humulenes		beta-Caryophyllene;///Caryophyllene;///(-)-beta-Caryophyllene	C15H24	204.1878	204.3511		11819	10357	CHEMBL445740				
C09630	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		alpha-Cedrene	C15H24	204.1878	204.3511		11820	10216	CHEMBL3185669				
C09630	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		alpha-Cedrene	C15H24	204.1878	204.3511		11820	10216	CHEMBL3185669				
C09631	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		alpha-Cedrol;///Cedrol	C15H26O	222.1984	222.3663		11821	10217	CHEMBL1974890				
C09631	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		alpha-Cedrol;///Cedrol	C15H26O	222.1984	222.3663		11821	10217	CHEMBL1974890				
C09632	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Centarol	C15H26O2	238.1933	238.3657		11822	3531					
C09633	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Chamazulene	C14H16	184.1252	184.2768		11823	3573	CHEMBL495665				
C09633	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Chamazulene	C14H16	184.1252	184.2768		11823	3573	CHEMBL495665				
C09635	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Chamigrene	C15H24	204.1878	204.3511		11825	10220					
C09636	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		Diffutin	C23H28O10	464.1682	464.4624		11826	4536					
C09636	Phytochemical Compounds	Flavonoids	Flavonoids	Flavans		Diffutin	C23H28O10	464.1682	464.4624		11826	4536					
C09637	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		beta-Chamigrene;///(-)-beta-Chamigrene	C15H24	204.1878	204.3511		11827	10359					
C09638	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Cinnamodial	C17H24O5	308.1624	308.3695		11828	3711	CHEMBL373458				
C09639	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		alpha-Copaene;///Copaene;///(-)-alpha-Copaene	C15H24	204.1878	204.3511		11829	10221					
C09639	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Copaene;///Copaene;///(-)-alpha-Copaene	C15H24	204.1878	204.3511		11829	10221					
C09641	Phytochemical Compounds	Flavonoids	Flavonoids	Flavans		7,4'-Dihydroxyflavan	C15H14O3	242.0943	242.2699		11831	2246	CHEMBL463168				
C09642	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		(-)-Salsolinol;///6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-;///Salsolinol	C10H13NO2	179.0946	179.2157		11832	113	CHEMBL1195032				
C09643	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Sinomenine	C19H23NO4	329.1627	329.3902		11833	9163	CHEMBL1591798 CHEMBL248095				
C09644	Phytochemical Compounds	Flavonoids	Flavonoids	Dihydrochalcones		2',6'-Dihydroxy-4'-methoxydihydrochalcone	C16H16O4	272.1049	272.2958		11834	28523	CHEMBL486009				
C09645	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Cuauhtemone	C15H24O3	252.1725	252.3493		11835	3935					
C09646	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		7,3'-Dihydroxy-4'-methoxy-8-methylflavan	C17H18O4	286.1205	286.3224		11836	2244					
C09646	Phytochemical Compounds	Flavonoids	Flavonoids	Flavans		7,3'-Dihydroxy-4'-methoxy-8-methylflavan	C17H18O4	286.1205	286.3224		11836	2244					
C09647	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		alpha-Cubebene	C15H24	204.1878	204.3511		11837	10224					
C09647	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Cubebene	C15H24	204.1878	204.3511		11837	10224					
C09648	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		beta-Cubebene	C15H24	204.1878	204.3511		11838	10363					
C09648	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		beta-Cubebene	C15H24	204.1878	204.3511		11838	10363					
C09649	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		alpha-Curcumene;///l-alpha-Curcumene;///(-)-alpha-Curcumene;///(R)-1-(1,5-Dimethyl-4-hexenyl)-4-methylbenzene	C15H22	202.1722	202.3352		11839	10225	CHEMBL469717				
C09649	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Curcumene;///l-alpha-Curcumene;///(-)-alpha-Curcumene;///(R)-1-(1,5-Dimethyl-4-hexenyl)-4-methylbenzene	C15H22	202.1722	202.3352		11839	10225	CHEMBL469717				
C09650	Phytochemical Compounds	Flavonoids	Flavonoids	Flavans		7,4'-Dihydroxy-8-methylflavan	C16H16O3	256.1099	256.2964		11840	2245	CHEMBL251978				
C09651	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Eudesmanes		Cycloeudesmol	C15H26O	222.1984	222.3663		11841	4001					
C09652	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Daucol	C15H26O2	238.1933	238.3657		11842	4329					
C09653	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Debneyol	C15H26O2	238.1933	238.3657		11843	4343					
C09654	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		(+)-Tetrandrine;///Tetrandrine	C38H42N2O6	622.3043	622.7499		11844	49	CHEMBL176045 CHEMBL504958				
C09655	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Thalicarpine	C41H48N2O8	696.3411	696.8284		11845	9509	CHEMBL507100				
C09656	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Thalidasine	C39H44N2O7	652.3149	652.7759		11846	9512	CHEMBL506593				
C09657	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		Dehydrojuvabione;///(4R)-4-[(1R)-1,5-Dimethyl-3-oxo-4-hexenyl]-1-cyclohexene-1-carboxylic acid methyl ester	C16H24O3	264.1725	264.36		11847	4365					
C09658	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Dehydromyodesmone	C15H18O2	230.1307	230.3022		11848	4367					
C09659	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Thalmine	C37H40N2O6	608.2886	608.7233		11849	9514					
C09660	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Dehydrongaione	C15H20O3	248.1412	248.3175		11850	4368					
C09660	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Dehydrongaione	C15H20O3	248.1412	248.3175		11850	4368					
C09661	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Thalsimine	C38H40N2O7	636.2836	636.7334		11851	9515					
C09662	Natural toxins	Fungal toxins	Mycotoxins	Trichothecenes		Diacetoxyscirpenol	C19H26O7	366.1679	366.4055		11852	4478	CHEMBL155721 CHEMBL433680				
C09663	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Eudesmanes		alpha-Eudesmol	C15H26O	222.1984	222.3663		11853	10278	CHEMBL3120654				
C09664	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Eudesmanes		beta-Eudesmol	C15H26O	222.1984	222.3663		11854	10417	CHEMBL88244				
C09665	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		alpha-Farnesene;///(3E,6E)-alpha-Farnesene	C15H24	204.1878	204.3511		11855	10280	CHEMBL3182226				
C09666	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		beta-Farnesene;///(E)-beta-Farnesene	C15H24	204.1878	204.3511		11856	10418					
C09667	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Tiliacorine	C36H36N2O5	576.2624	576.6814		11857	9597	CHEMBL2017489				
C09668	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Fumagillin	C26H34O7	458.2305	458.544	ATC code: P01AX10	11858	48635	CHEMBL1522710 CHEMBL32838				
C09670	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Xylopine	C18H17NO3	295.1208	295.3325		11860	10083	CHEMBL452201				
C09671	Phytochemical Compounds	Alkaloids	Alkaloids derived from tyrosine	Isoquinoline alkaloids		Xylopinine;///Norcoralydine	C21H25NO4	355.1784	355.4275		11861	10084	CHEMBL465824				
C09672	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Germacrene B;///(E,E)-Germacrene B;///(E,E)-1,5-Dimethyl-8-(1-methylethylidene)-1,5-cyclodecadiene	C15H24	204.1878	204.3511		11862	5337	CHEMBL448125				
C09672	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Germacrenes		Germacrene B;///(E,E)-Germacrene B;///(E,E)-1,5-Dimethyl-8-(1-methylethylidene)-1,5-cyclodecadiene	C15H24	204.1878	204.3511		11862	5337	CHEMBL448125				
C09673	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Glutinosone	C14H20O2	220.1463	220.3074		11863	5440					
C09675	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Guaiazulene;///1,4-Dimethyl-7-isopropylazulene	C15H18	198.1409	198.3034	Same as: D01037	11865	5550	CHEMBL1408759				
C09675	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Eudesmanes		Guaiazulene;///1,4-Dimethyl-7-isopropylazulene	C15H18	198.1409	198.3034	Same as: D01037	11865	5550	CHEMBL1408759				
C09676	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Guaiol	C15H26O	222.1984	222.3663		11866	5552	CHEMBL226915 CHEMBL3187162				
C09676	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Eudesmanes		Guaiol	C15H26O	222.1984	222.3663		11866	5552	CHEMBL226915 CHEMBL3187162				
C09677	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Helminthosporal	C15H22O2	234.162	234.334		11867	5647					
C09678	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Helminthosporol	C15H24O2	236.1776	236.3499		11868	5648					
C09678	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Helminthosporol	C15H24O2	236.1776	236.3499		11868	5648					
C09679	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Helminthosporoside A	C39H64O22	884.3889	884.9123		11869	5649					
C09680	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Hemigossypol	C15H16O4	260.1049	260.2851		11870	5654	CHEMBL2271696				
C09680	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Hemigossypol	C15H16O4	260.1049	260.2851		11870	5654	CHEMBL2271696				
C09681	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Hernandulcin	C15H24O2	236.1776	236.3499		11871	5678					
C09682	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Himachalol	C15H26O	222.1984	222.3663		11872	5719					
C09684	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Humulene;///alpha-Humulene	C15H24	204.1878	204.3511		11874	5768	CHEMBL251280				
C09684	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Humulenes		Humulene;///alpha-Humulene	C15H24	204.1878	204.3511		11874	5768	CHEMBL251280				
C09685	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		10beta-Hydroxy-6beta-isobutyrylfuranoeremophilane	C19H28O4	320.1988	320.4232		11875	709					
C09686	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Hydroxyisopatchoulenone	C15H22O2	234.162	234.334		11876	5805					
C09687	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Illudin M	C15H20O3	248.1412	248.3175		11877	5866	CHEMBL501342				
C09687	Natural toxins	Fungal toxins	Mushroom toxins	Terpenoids		Illudin M	C15H20O3	248.1412	248.3175		11877	5866	CHEMBL501342				
C09688	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Illudin S	C15H20O4	264.1362	264.3169		11878	5867	CHEMBL509170				
C09688	Natural toxins	Fungal toxins	Mushroom toxins	Terpenoids		Illudin S	C15H20O4	264.1362	264.3169		11878	5867	CHEMBL509170				
C09689	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Ipomeamarone;///(+)-Ngaione	C15H22O3	250.1569	250.3334		11879	5955					
C09689	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Ipomeamarone;///(+)-Ngaione	C15H22O3	250.1569	250.3334		11879	5955					
C09690	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Irone;///(+)-cis-alpha-Irone	C14H22O	206.1671	206.3239		11880	10284					
C09691	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Isocaryophyllene	C15H24	204.1878	204.3511		11881	5993	CHEMBL448700				
C09691	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Humulenes		Isocaryophyllene	C15H24	204.1878	204.3511		11881	5993	CHEMBL448700				
C09693	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		Juvabione	C16H26O3	266.1882	266.3758		11883	6095					
C09694	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Juvenile hormone III	C16H26O3	266.1882	266.3758		11884	27493		JH3			
C09694	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Juvenile hormone III	C16H26O3	266.1882	266.3758		11884	27493		JH3			
C09695	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Lacinilene C 7-methyl ether	C16H20O3	260.1412	260.3282		11885	6348	CHEMBL2206801				
C09697	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Laserpitin	C25H38O7	450.2618	450.565		11887	6381					
C09698	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Ledol	C15H26O	222.1984	222.3663		11888	6401					
C09699	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Longifolene	C15H24	204.1878	204.3511		11889	6530					
C09699	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Humulenes		Longifolene	C15H24	204.1878	204.3511		11889	6530					
C09700	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Lubimin	C15H24O2	236.1776	236.3499		11890	27774	CHEMBL2270658				
C09702	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Mukaadial	C15H22O4	266.1518	266.3328		11892	7016	CHEMBL455627				
C09704	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Nerolidol;///(3S,6E)-Nerolidol	C15H26O	222.1984	222.3663		11893	59958	CHEMBL1923157				
C09704	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Nerolidol;///(3S,6E)-Nerolidol	C15H26O	222.1984	222.3663		11893	59958	CHEMBL1923157				
C09705	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		Patchouli alcohol	C15H26O	222.1984	222.3663		11894	7940					
C09706	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Petasin	C20H28O3	316.2038	316.4345		11895	8030	CHEMBL3291073				
C09707	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Phaseic acid	C15H20O5	280.1311	280.3163		11896	28205	CHEMBL3594247				
C09708	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Phomenone	C15H20O4	264.1362	264.3169		11897	8115	CHEMBL1172874				
C09709	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Phytuberin	C17H26O4	294.1831	294.3859		11898	8196					
C09710	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Pinguisone	C15H20O2	232.1463	232.3181		11899	8216					
C09712	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Polygodial	C15H22O2	234.162	234.334		11901	8305	CHEMBL254550				
C09714	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Rhipocephalin	C21H28O6	376.1886	376.4434		11902	8827					
C09715	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Rishitin	C14H22O2	222.162	222.3233		11903	8870					
C09717	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Rugosal A;///Rugosal	C15H22O4	266.1518	266.3328		11905	8910					
C09718	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		beta-Santalene;///(-)-beta-Santalene	C15H24	204.1878	204.3511		11906	10440					
C09719	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		alpha-Santalol	C15H24O	220.1827	220.3505		11907	10330					
C09719	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Santalol	C15H24O	220.1827	220.3505		11907	10330					
C09720	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		beta-Santalol	C15H24O	220.1827	220.3505		11908	10441					
C09720	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		beta-Santalol	C15H24O	220.1827	220.3505		11908	10441					
C09722	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Seiricardine A	C15H26O2	238.1933	238.3657		11910	9084					
C09723	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		beta-Selinene	C15H24	204.1878	204.3511		11911	10443	CHEMBL2287242				
C09723	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		beta-Selinene	C15H24	204.1878	204.3511		11911	10443	CHEMBL2287242				
C09723	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		beta-Selinene	C15H24	204.1878	204.3511		11911	10443	CHEMBL2287242				
C09724	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Lonchocarpol A;///Senegalensin;///6,8-Diprenylnaringenin	C25H28O5	408.1937	408.4868		11912	2156	CHEMBL477969				
C09724	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Lonchocarpol A;///Senegalensin;///6,8-Diprenylnaringenin	C25H28O5	408.1937	408.4868		11912	2156	CHEMBL477969				
C09725	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Shiromodiol diacetate	C19H30O5	338.2093	338.4385		11913	9136	CHEMBL1980398				
C09726	Phytochemical Compounds	Flavonoids	Complex flavonoids	Proanthocyanidins		Dracorubin	C32H24O5	488.1624	488.53		11914	4714	CHEMBL485799				
C09727	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		(-)-Epicatechin	C15H14O6	290.079	290.2681		11915	90	CHEMBL583912 CHEMBL80941	28E			
C09727	Phytochemical Compounds	Flavonoids	Flavonoids	Flavan 3-ols		(-)-Epicatechin	C15H14O6	290.079	290.2681		11915	90	CHEMBL583912 CHEMBL80941	28E			
C09728	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		(+)-Epicatechin;///ent-Epicatechin	C15H14O6	290.079	290.2681		11916	76125	CHEMBL129482				
C09728	Phytochemical Compounds	Flavonoids	Flavonoids	Flavan 3-ols		(+)-Epicatechin;///ent-Epicatechin	C15H14O6	290.079	290.2681		11916	76125	CHEMBL129482				
C09729	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Sinensal	C15H22O	218.1671	218.3346		11917	10332					
C09730	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		beta-Sinensal;///2,6-Dimethyl-10-methylene-2,6,11-dodecatrienal	C15H22O	218.1671	218.3346		11918	10444					
C09731	Lipids	PK  Polyketides	PK12 Flavonoids	PK1203 Proanthocyanidins		Epigallocatechin 3-gallate	C22H18O11	458.0849	458.3717		11919	4806	CHEMBL297453	KDH			
C09731	Phytochemical Compounds	Flavonoids	Flavonoids	Flavan 3-ols		Epigallocatechin 3-gallate	C22H18O11	458.0849	458.3717		11919	4806	CHEMBL297453	KDH			
C09732	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Eriocitrin;///Eriodictyol 7-O-rutinoside	C27H32O15	596.1741	596.534		11920	28709	CHEMBL2165586				
C09732	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Eriocitrin;///Eriodictyol 7-O-rutinoside	C27H32O15	596.1741	596.534		11920	28709	CHEMBL2165586				
C09734	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Farrerol	C17H16O5	300.0998	300.3059		11922	67897	CHEMBL507611				
C09734	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Farrerol	C17H16O5	300.0998	300.3059		11922	67897	CHEMBL507611				
C09735	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		Fisetinidol;///3,7,3',4'-Tetrahydroxyflavan	C15H14O5	274.0841	274.2687		11923	5066	CHEMBL3039234				
C09735	Phytochemical Compounds	Flavonoids	Flavonoids	Flavan 3-ols		Fisetinidol;///3,7,3',4'-Tetrahydroxyflavan	C15H14O5	274.0841	274.2687		11923	5066	CHEMBL3039234				
C09736	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		Fisetinidol-4beta-ol;///(-)-Mollisacacidin;///Fisetinin-3,4-diol;///5-Deoxyleucocyanidin	C15H14O6	290.079	290.2681		11924	5067					
C09736	Phytochemical Compounds	Flavonoids	Flavonoids	Flavan 3,4-diols		Fisetinidol-4beta-ol;///(-)-Mollisacacidin;///Fisetinin-3,4-diol;///5-Deoxyleucocyanidin	C15H14O6	290.079	290.2681		11924	5067					
