	Type	Common-Name
PWY-5742	ARGININE-DEG	L-arginine degradation IX (arginine:pyruvate transaminase pathway)
ORNARGDEG-PWY	Super-Pathways	superpathway of L-arginine and L-ornithine degradation
ARGDEGRAD-PWY	Super-Pathways	L-arginine degradation V (arginine deiminase pathway)
ARGDEG-IV-PWY	ARGININE-DEG	L-arginine degradation VIII (arginine oxidase pathway)
PWY-5910	Super-Pathways	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
ARGORNPROST-PWY	Super-Pathways	L-arginine degradation (Stickland reaction)
ARGDEG-PWY	Super-Pathways	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation
PWY-6823	Molybdenum-Cofactor-Biosynthesis	molybdenum cofactor biosynthesis
PWY-7392	Super-Pathways	taxadiene biosynthesis (engineered)
PWY0-823	ARGININE-DEG	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
ASPARAGINESYN-PWY	ASPARAGINE-SYN	L-asparagine biosynthesis II
PWY-6308	CYSTEINE-SYN	L-cysteine biosynthesis II (tRNA-dependent)
PWY-5921	Aminoacyl-tRNAs-Charging	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
TRNA-CHARGING-PWY	Metabolic-Clusters	tRNA charging
PWY490-4	Aminoacyl-tRNAs-Charging	L-asparagine biosynthesis III (tRNA-dependent)
ASPARAGINE-BIOSYNTHESIS	ASPARAGINE-SYN	L-asparagine biosynthesis I
PWY0-1325	Super-Pathways	superpathway of L-asparagine biosynthesis
PWY-7482	DITERPENOID-SYN	cyclooctatin biosynthesis
ASPARTATESYN-PWY	ASPARTATE-SYN	L-aspartate biosynthesis
PWY-5121	Super-Pathways	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
GLUTDEG-PWY	GLUTAMATE-DEG	L-glutamate degradation II
ASPARTATE-DEG1-PWY	ASPARTATE-DEG	L-aspartate degradation I
PWY-5024	ARGININE-DEG	L-arginine degradation XI
ARGDEG-III-PWY	ARGININE-DEG	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
PWY-6994	Pyrrolysine-Biosynthesis	L-pyrrolysine biosynthesis
ARG-GLU-PWY	ARGININE-DEG	L-arginine degradation VII (arginase 3 pathway)
PWY-4921	Citrulline-Biosynthesis	protein citrullination
ASPARAGINE-DEG1-PWY	ASPARAGINE-DEG	L-asparagine degradation I
PWY-6482	Amino-Acids-Modification	diphthamide biosynthesis I (archaea)
PWY-6497	D-Galactarate-Degradation	D-galactarate degradation II
GALACTARDEG-PWY	D-Galactarate-Degradation	D-galactarate degradation I
PWY-5523	DMB-Biosynthesis	5,6-dimethylbenzimidazole biosynthesis I (aerobic)
PWY-7729	DMB-Biosynthesis	5,6-dimethylbenzimidazole biosynthesis II (anaerobic)
P23-PWY	Reductive-TCA-Cycles	reductive TCA cycle I
PWY-5392	Reductive-TCA-Cycles	reductive TCA cycle II
P42-PWY	Reductive-TCA-Cycles	incomplete reductive TCA cycle
PWY-7574	Propionate-Degradation	propanoyl-CoA degradation II
PWY0-1298	Super-Pathways	superpathway of pyrimidine deoxyribonucleosides degradation
PROPIONMET-PWY	Propionate-Degradation	propanoyl CoA degradation I
PWY0-42	Methyl-Citrate-Cycle	2-methylcitrate cycle I
PWY-5747	Methyl-Citrate-Cycle	2-methylcitrate cycle II
PWY-6120	TYROSINE-SYN	L-tyrosine biosynthesis III
TYRSYN	TYROSINE-SYN	L-tyrosine biosynthesis I
PWY-3461	TYROSINE-SYN	L-tyrosine biosynthesis II
P108-PWY	Pyruvate-Propanoate-Fermentation	pyruvate fermentation to propanoate I
PWY-5494	Pyruvate-Propanoate-Fermentation	pyruvate fermentation to propanoate II (acrylate pathway)
ARABCAT-PWY	L-Arabinose-Degradation	L-arabinose degradation I
PWY-7295	L-Arabinose-Degradation	L-arabinose degradation IV
PWY-5517	L-Arabinose-Degradation	L-arabinose degradation III
PWY-6756	Methylthioadenosine-Degradation	<i>S</i>-methyl-5'-thioadenosine degradation II
PWY-6754	Methylthioadenosine-Degradation	<i>S</i>-methyl-5'-thioadenosine degradation I
PWY-6753	Methylthioadenosine-Degradation	<i>S</i>-methyl-5'-thioadenosine degradation III
PWY0-1391	Methylthioadenosine-Degradation	<i>S</i>-methyl-5'-thioadenosine degradation IV
PWY-1701	Super-Pathways	methanol and methylamine oxidation to formaldehyde
PWY-6510	Methanol-Oxidation	methanol oxidation to formaldehyde II
PWY-6509	Methanol-Oxidation	methanol oxidation to formaldehyde III
PWY-6966	Methanol-Oxidation	methanol oxidation to formaldehyde I
MANNCAT-PWY	Sugars-And-Polysaccharides-Degradation	D-mannose degradation
PWY0-1309	Sugars-And-Polysaccharides-Degradation	chitobiose degradation
PWY-2421	AUXINS-DEGRADATION	indole-3-acetate degradation
PWY-6461	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis II (E. faecium)
PWY-7130	Sugars-And-Polysaccharides-Degradation	L-glucose degradation
PWY-6459	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis I (S. aureus)
FUCCAT-PWY	Sugars-And-Polysaccharides-Degradation	fucose degradation
PWY-7459	Sugars-And-Polysaccharides-Degradation	kojibiose degradation
PWY-6463	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)
KDO-LIPASYN-PWY	Lipid-Biosynthesis	(Kdo)<sub>2</sub>-lipid A biosynthesis I
KDO-NAGLIPASYN-PWY	Super-Pathways	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
PWY-6462	Peptidoglycan-Cross-Bridge-Biosynthesis	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)
LIPA-CORESYN-PWY	Lipid-Biosynthesis	lipid A-core biosynthesis (<i>E. coli</i> K-12)
LPSSYN-PWY	Super-Pathways	superpathway of lipopolysaccharide biosynthesis
NAGLIPASYN-PWY	Lipopolysaccharide-Biosynthesis	lipid IV<sub>A</sub> biosynthesis
PWY-5142	Lipid-Biosynthesis	acyl-[acyl-carrier protein] thioesterase pathway
PWY-40	Putrescine-Biosynthesis	putrescine biosynthesis I
PWY-5257	Super-Pathways	superpathway of pentose and pentitol degradation
PWY-5143	Lipid-Biosynthesis	long-chain fatty acid activation
PWY-5148	Lipid-Biosynthesis	acyl-CoA hydrolysis
PWY-5670	TRITERPENOID-SYN	epoxysqualene biosynthesis
PWY-46	Putrescine-Biosynthesis	putrescine biosynthesis III
PWY-5885	Lipid-Biosynthesis	wax esters biosynthesis II
PWY-43	Putrescine-Biosynthesis	putrescine biosynthesis II
PWY-6818	Lipid-Biosynthesis	ornithine lipid biosynthesis
PWY-5259	METHANOGENESIS	methanogenesis from methanethiol
PWY-7740	Lipid-Biosynthesis	&beta;-D-mannosyl phosphomycoketide biosynthesis
PWY-6830	Super-Pathways	superpathway of methanogenesis
METHANOGENESIS-PWY	METHANOGENESIS	methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>
PWY-7741	Lipid-Biosynthesis	phthiocerol biosynthesis
PWY-5247	METHANOGENESIS	methanogenesis from methylamine
PWY-5261	METHANOGENESIS	methanogenesis from tetramethylammonium
PWY-7743	Lipid-Biosynthesis	dimycocerosyl triglycosyl phenolphthiocerol biosynthesis
METH-ACETATE-PWY	METHANOGENESIS	methanogenesis from acetate
PWY-7742	Lipid-Biosynthesis	phenolphthiocerol biosynthesis
PWY-5209	METHANOGENESIS	methyl-coenzyme M oxidation to CO<sub>2</sub>
PWY-7744	Lipid-Biosynthesis	dimycocerosyl phthiocerol biosynthesis
PWY-5250	METHANOGENESIS	methanogenesis from trimethylamine
PWY-7745	Lipid-Biosynthesis	p-HBAD biosynthesis
METHFORM-PWY	METHANOGENESIS	methyl-coenzyme M reduction to methane
PWY-7746	Lipid-Biosynthesis	mycobacterial sulfolipid biosynthesis
PWY-5248	METHANOGENESIS	methanogenesis from dimethylamine
PWY0-1264	Lipid-Biosynthesis	biotin-carboxyl carrier protein assembly
PWY3DJ-11281	Lipid-Biosynthesis	sphingomyelin metabolism
PWYQT-4427	Lipid-Biosynthesis	sulfoquinovosyl diacylglycerol biosynthesis
PWY-7562	Sugars-And-Polysaccharides-Degradation	3,6-anhydro-&alpha;-L-galactopyranose degradation
GLUCOSE1PMETAB-PWY	Sugars-And-Polysaccharides-Degradation	glucose and glucose-1-phosphate degradation
PWY-7180	Sugars-And-Polysaccharides-Degradation	2'-deoxy-&alpha;-D-ribose 1-phosphate degradation
PWY-6901	Super-Pathways	superpathway of glucose and xylose degradation
PWY0-1314	Sugars-And-Polysaccharides-Degradation	fructose degradation
PWY0-1300	Sugars-And-Polysaccharides-Degradation	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation
PWY-5480	Pyruvate-Ethanol-Fermentation	pyruvate fermentation to ethanol I
PWY-5663	Tetrahydrobiopterin-Biosynthesis	erythro-tetrahydrobiopterin biosynthesis I
LYXMET-PWY	Sugars-And-Polysaccharides-Degradation	L-lyxose degradation
FASYN-ELONG-PWY	Fatty-acid-biosynthesis	fatty acid elongation -- saturated
PWY-6587	Pyruvate-Ethanol-Fermentation	pyruvate fermentation to ethanol III
PWY-6983	Tetrahydrobiopterin-Biosynthesis	<i>threo</i>-tetrahydrobiopterin biosynthesis
FASYN-INITIAL-PWY	Super-Pathways	superpathway of fatty acid biosynthesis initiation (E. coli)
PWY-4381	Fatty-acid-biosynthesis	fatty acid biosynthesis initiation I
PWY-5486	Pyruvate-Ethanol-Fermentation	pyruvate fermentation to ethanol II
PWY-5080	Fatty-acid-biosynthesis	very long chain fatty acid biosynthesis I
PWY-7395	Sugars-And-Polysaccharides-Degradation	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation
PWY-7077	Sugars-And-Polysaccharides-Degradation	<i>N</i>-acetyl-D-galactosamine degradation
PWY-2661	Trehalose-biosynthesis	trehalose biosynthesis V
PWY-5965	Fatty-acid-biosynthesis	fatty acid biosynthesis initiation III
PWY-5966	Fatty-acid-biosynthesis	fatty acid biosynthesis initiation II
RIBOKIN-PWY	Sugars-And-Polysaccharides-Degradation	ribose phosphorylation
PWY-881	Trehalose-biosynthesis	trehalose biosynthesis II
PWY-6113	Super-Pathways	superpathway of mycolate biosynthesis
PWY-2622	Trehalose-biosynthesis	trehalose biosynthesis IV
PWY-6285	Super-Pathways	superpathway of fatty acids biosynthesis (<i>E. coli</i>)
PWY0-44	Sugars-And-Polysaccharides-Degradation	D-allose degradation
PWY-5985	Trehalose-biosynthesis	trehalose biosynthesis VII
PWY-7036	Fatty-acid-biosynthesis	very long chain fatty acid biosynthesis II
PWY-7094	Fatty-acid-biosynthesis	fatty acid salvage
P302-PWY	Sugars-And-Polysaccharides-Degradation	L-sorbose degradation
TRESYN-PWY	Trehalose-biosynthesis	trehalose biosynthesis I
PWY0-881	Super-Pathways	superpathway of fatty acid biosynthesis I (E. coli)
PWY0-1301	Sugars-And-Polysaccharides-Degradation	melibiose degradation
PWY-5983	Trehalose-biosynthesis	trehalose biosynthesis VI
PWYG-321	Fatty-acid-biosynthesis	mycolate biosynthesis
MALTOSECAT-PWY	Sugars-And-Polysaccharides-Degradation	maltose degradation
DARABCAT-PWY	D-Arabinose-Degradation	D-arabinose degradation II
PWY-7560	MEP-Pathways	methylerythritol phosphate pathway II
TREHALOSESYN-PWY	Trehalose-biosynthesis	trehalose biosynthesis III
NONMEVIPP-PWY	MEP-Pathways	methylerythritol phosphate pathway I
PWY-2261	REACTIVE-OXYGEN-SPECIES-DEGRADATION	ascorbate glutathione cycle
DARABCATK12-PWY	D-Arabinose-Degradation	D-arabinose degradation I
DETOX1-PWY-1	Super-Pathways	reactive oxygen species degradation
PWY-5519	D-Arabinose-Degradation	D-arabinose degradation III
PWY-701	METHIONINE-DEG	L-methionine degradation II
METHIONINE-DEG1-PWY	METHIONINE-DEG	L-methionine degradation I (to L-homocysteine)
DETOX1-PWY	REACTIVE-OXYGEN-SPECIES-DEGRADATION	superoxide radicals degradation
PWY-6422	D-Amino-Acid-Degradation	D-arginine degradation
PWY0-1535	D-Amino-Acid-Degradation	D-serine degradation
PWY-6284	Unsaturated-Fatty-Acids-Biosynthesis	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)
PWY-7691	Unsaturated-Fatty-Acids-Biosynthesis	10,13-epoxy-11-methyl-octadecadienoate biosynthesis
PWY-5973	Unsaturated-Fatty-Acids-Biosynthesis	<i>cis</i>-vaccenate biosynthesis
PWY-7663	Unsaturated-Fatty-Acids-Biosynthesis	gondoate biosynthesis (anaerobic)
PWY-7858	5Z-Dodec-5-enoate-Biosynthesis	(5Z)-dodecenoate biosynthesis II
PWY0-862	5Z-Dodec-5-enoate-Biosynthesis	(5Z)-dodecenoate biosynthesis I
PWY-5942	Super-Pathways	<i>trans</i>-lycopene biosynthesis I
PWY-6475	Lycopene-Biosynthesis	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)
PWY0-1533	Methylphosphonate-Degradation	methylphosphonate degradation I
PWY-7399	Methylphosphonate-Degradation	methylphosphonate degradation II
PWY-5899	Super-Pathways	superpathway of menaquinol-13 biosynthesis
PWY-5839	Menaquinone-Biosynthesis	menaquinol-7 biosynthesis
PWY-7996	Menaquinone-Biosynthesis	menaquinol-4 biosynthesis I
PWY-5845	Super-Pathways	superpathway of menaquinol-9 biosynthesis
SALVPURINE2-PWY	Purine-Nucleotides-Salvage	xanthine and xanthosine salvage
PWY-5890	Menaquinone-Biosynthesis	menaquinol-10 biosynthesis
PWY-5895	Menaquinone-Biosynthesis	menaquinol-13 biosynthesis
PWY-7224	Purine-Nucleotides-Salvage	purine deoxyribonucleosides salvage
PWY-5898	Super-Pathways	superpathway of menaquinol-12 biosynthesis
PWY-6605	Adenine-Adenosine-Salvage	adenine and adenosine salvage II
PWY-5838	Super-Pathways	superpathway of menaquinol-8 biosynthesis I
PWY-6611	Adenine-Adenosine-Salvage	adenine and adenosine salvage V
PWY-7992	Super-Pathways	superpathway of menaquinol-8 biosynthesis III
P121-PWY	Adenine-Adenosine-Salvage	adenine and adenosine salvage I
PWY-5844	Menaquinone-Biosynthesis	menaquinol-9 biosynthesis
PWY-6610	Adenine-Adenosine-Salvage	adenine salvage
PWY-5850	Super-Pathways	superpathway of menaquinol-6 biosynthesis I
PWY-6609	Adenine-Adenosine-Salvage	adenine and adenosine salvage III
PWY-5892	Menaquinone-Biosynthesis	menaquinol-12 biosynthesis
PWY-6619	Adenine-Adenosine-Salvage	adenine and adenosine salvage VI
PWY-5897	Super-Pathways	superpathway of menaquinol-11 biosynthesis
MENAQUINONESYN-PWY	Menaquinone-Biosynthesis	menaquinol-8 biosynthesis
PWY-6263	Super-Pathways	superpathway of menaquinol-8 biosynthesis II
PWY-5840	Super-Pathways	superpathway of menaquinol-7 biosynthesis
PWY-5849	Menaquinone-Biosynthesis	menaquinol-6 biosynthesis
PWY-5891	Menaquinone-Biosynthesis	menaquinol-11 biosynthesis
PWY-5896	Super-Pathways	superpathway of menaquinol-10 biosynthesis
GLUTORN-PWY	L-Ornithine-Biosynthesis	L-ornithine biosynthesis I
RHAMCAT-PWY	L-rhamnose-Degradation	L-rhamnose degradation I
PWY-6714	L-rhamnose-Degradation	L-rhamnose degradation III
PWY-6713	L-rhamnose-Degradation	L-rhamnose degradation II
PWY0-1317	Lactaldehyde-Degradation	L-lactaldehyde degradation (aerobic)
PWY-7176	Pyrimid-Ribonucleot-De-Novo-Biosyn	UTP and CTP <i>de novo</i> biosynthesis
PWY0-1315	Lactaldehyde-Degradation	L-lactaldehyde degradation (anaerobic)
PWY0-162	Super-Pathways	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis
PWY-7775	Propane-Degradation	propane degradation II
PWY-7774	Propane-Degradation	propane degradation I
PWY-6125	Super-Pathways	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II
PWY-7229	Super-Pathways	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I
DENOVOPURINE2-PWY	Super-Pathways	superpathway of purine nucleotides <i>de novo</i> biosynthesis II
PWY-7228	Super-Pathways	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I
PWY-6086	Chloroaromatic-Compounds-Degradation	4-chloro-2-methylphenoxyacetate degradation
PWY-6126	Super-Pathways	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II
PWY-841	Super-Pathways	superpathway of purine nucleotides <i>de novo</i> biosynthesis I
PWY0-662	Sugar-Phosphate-Biosynthesis	PRPP biosynthesis
PWY-6178	Chloroaromatic-Compounds-Degradation	2,4,6-trichlorophenol degradation
PWY-6197	Chloroaromatic-Compounds-Degradation	chlorinated phenols degradation
PWY-6107	Chloroaromatic-Compounds-Degradation	chlorosalicylate degradation
PWY-7227	Adenosine-Deoxy-Denovo-Bbiosynthesis	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis
PWY-7220	Adenosine-Deoxy-Denovo-Bbiosynthesis	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7496	Chloroaromatic-Compounds-Degradation	linuron degradation
PWY-7512	Chloroaromatic-Compounds-Degradation	3,5,6-trichloro-2-pyridinol degradation
PWY-6200	Chloroaromatic-Compounds-Degradation	2,4,5-trichlorophenoxyacetate degradation
PWY-7771	Chloroaromatic-Compounds-Degradation	butachlor degradation
PWY-7823	Chloroaromatic-Compounds-Degradation	chlorzoxazone degradation
PWY-6102	Chloroaromatic-Compounds-Degradation	5-chloro-3-methyl-catechol degradation
PWY-6085	Chloroaromatic-Compounds-Degradation	2,4-dichlorophenoxyacetate degradation
PWY-6215	Chlorobenzoate-Degradation	4-chlorobenzoate degradation
PWY-6965	Methylamine-Degradation	methylamine degradation II
PWY-5532	NUCLEO-DEG	nucleoside and nucleotide degradation (archaea)
PWY0-1297	Super-Pathways	superpathway of purine deoxyribonucleosides degradation
PWY-6221	Chlorobenzoate-Degradation	2-chlorobenzoate degradation
PWY-6217	Chlorobenzoate-Degradation	3,4-dichlorobenzoate degradation
PWY-6216	3-Chlorobenzoate-Degradation	3-chlorobenzoate degradation II (via protocatechuate)
PWY-6088	3-Chlorobenzoate-Degradation	3-chlorobenzoate degradation I (via chlorocatechol)
PWY-6967	Methylamine-Degradation	methylamine degradation I
PWY-6019	Purine-Degradation	pseudouridine degradation
PWY-6228	3-Chlorobenzoate-Degradation	3-chlorobenzoate degradation III (via gentisate)
PWY-5695	Purine-Degradation	inosine 5'-phosphate degradation
PWY-6084	Chlorocatechol-Degradation	3,5-dichlorocatechol degradation
PWY-7179	Purine-Degradation	purine deoxyribonucleosides degradation I
PWY-6087	Chlorocatechol-Degradation	4-chlorocatechol degradation
PWY-6353	Super-Pathways	purine nucleotides degradation II (aerobic)
PWY-6093	Chlorocatechol-Degradation	4,5-dichlorocatechol degradation
PWY0-1296	Purine-Degradation	purine ribonucleosides degradation
PWY-6094	Chlorocatechol-Degradation	3,4,6-trichlorocatechol degradation
PWY-6193	3-Chlorocatechol-Degradation	3-chlorocatechol degradation II (<i>ortho</i>)
PWY-6089	3-Chlorocatechol-Degradation	3-chlorocatechol degradation I (<i>ortho</i>)
SALVADEHYPOX-PWY	Adenosine-Nucleotides-Degradation	adenosine nucleotides degradation II
PWY-6214	3-Chlorocatechol-Degradation	3-chlorocatechol degradation III (<i>meta</i> pathway)
PWY-6617	Adenosine-Nucleotides-Degradation	adenosine nucleotides degradation III
PWY-6104	3-Chlorotoluene-Degradation	3-chlorotoluene degradation II
PWY-6103	3-Chlorotoluene-Degradation	3-chlorotoluene degradation I
PWY-5978	Kanosamine-Biosynthesis	kanosamine biosynthesis I
PWY8J2-22	Kanosamine-Biosynthesis	kanosamine biosynthesis II
PWY-1641	Methane-Oxidation	methane oxidation to methanol I
PWY-6742	Methane-Oxidation	methane oxidation to methanol II
PWY-7528	Super-Pathways	L-methionine salvage cycle I (bacteria and plants)
PWY-7527	Super-Pathways	L-methionine salvage cycle III
LEUSYN-PWY	LEUCINE-SYN	L-leucine biosynthesis
PWY-6146	Super-Pathways	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism
PWY-7187	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-5507	Super-Pathways	adenosylcobalamin biosynthesis I (anaerobic)
P381-PWY	Super-Pathways	adenosylcobalamin biosynthesis II (aerobic)
PWY0-166	Super-Pathways	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)
PWY-5886	AROMATIC-COMPOUNDS-BIOSYN	4-hydroxyphenylpyruvate biosynthesis
PWY-922	Mevalonate-Pathways	mevalonate pathway I
PWY-7211	Super-Pathways	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis
PWY-7524	Mevalonate-Pathways	mevalonate pathway III (archaea)
PWY-5901	AROMATIC-COMPOUNDS-BIOSYN	2,3-dihydroxybenzoate biosynthesis
PWY-6174	Mevalonate-Pathways	mevalonate pathway II (archaea)
PWY-6457	CINNAMATE-SYN	<i>trans</i>-cinnamoyl-CoA biosynthesis
HSERMETANA-PWY	Super-Pathways	L-methionine biosynthesis III
PWY-6458	AROMATIC-COMPOUNDS-BIOSYN	benzoyl-CoA biosynthesis
PWY-5347	Super-Pathways	superpathway of L-methionine biosynthesis (transsulfuration)
PWY-6707	AROMATIC-COMPOUNDS-BIOSYN	gallate biosynthesis
HOMOSER-METSYN-PWY	Methionine-De-novo-Biosynthesis	L-methionine biosynthesis I
PWY-5345	Super-Pathways	superpathway of L-methionine biosynthesis (by sulfhydrylation)
PWY-7977	Methionine-De-novo-Biosynthesis	L-methionine biosynthesis IV (archaea)
METSYN-PWY	Super-Pathways	superpathway of L-homoserine and L-methionine biosynthesis
PWY-7303	AROMATIC-COMPOUNDS-BIOSYN	3-dimethylallyl-4-hydroxybenzoate biosynthesis
PWY-6164	3-Dehydroquinate-Biosynthesis	3-dehydroquinate biosynthesis I
PWY-7962	Cobamide-De-Novo-Biosynthesis	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
PWY-6160	3-Dehydroquinate-Biosynthesis	3-dehydroquinate biosynthesis II (archaea)
PWY-7963	Adenosylcobamide-Biosynthesis	4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7966	Adenosylcobamide-Biosynthesis	5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7969	Adenosylcobamide-Biosynthesis	5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7961	Adenosylcobamide-Biosynthesis	phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7965	Adenosylcobamide-Biosynthesis	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7968	Adenosylcobamide-Biosynthesis	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7975	Adenosylcobamide-Biosynthesis	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II
PWY-5509	Adenosylcobamide-Biosynthesis	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
PWY-7964	Adenosylcobamide-Biosynthesis	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7967	Adenosylcobamide-Biosynthesis	5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-5794	Malonate-Degradation	malonate degradation I (biotin-independent)
PWY-7970	Adenosylcobamide-Biosynthesis	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-6060	Malonate-Degradation	malonate degradation II (biotin-dependent)
PWY-116	PHENYLPROPANOID-DERIVATIVE-DEG	coniferin metabolism
P2-PWY	Cofactor-Biosynthesis	citrate lyase activation
PWY-5851	Demethylmenaquinone-Biosynthesis	demethylmenaquinol-9 biosynthesis
PWY-5862	Super-Pathways	superpathway of demethylmenaquinol-9 biosynthesis
P241-PWY	Cofactor-Biosynthesis	coenzyme B biosynthesis
PWY-7372	Demethylmenaquinol-6-Biosynthesis	demethylmenaquinol-6 biosynthesis II
PWY-5196	Cofactor-Biosynthesis	factor 430 biosynthesis
PWY-5860	Super-Pathways	superpathway of demethylmenaquinol-6 biosynthesis I
PWY-5198	Cofactor-Biosynthesis	factor 420 biosynthesis
PWY-7997	Demethylmenaquinol-6-Biosynthesis	demethylmenaquinol-4 biosynthesis
PWY-5199	Cofactor-Biosynthesis	factor 420 polyglutamylation
PWY-5853	Demethylmenaquinol-6-Biosynthesis	demethylmenaquinol-6 biosynthesis I
PWY-5254	Cofactor-Biosynthesis	methanofuran biosynthesis
PWY-7373	Super-Pathways	superpathway of demethylmenaquinol-6 biosynthesis II
PWY-5796	Cofactor-Biosynthesis	malonate decarboxylase activation
PWY-5852	Demethylmenaquinol-8-Biosynthesis	demethylmenaquinol-8 biosynthesis I
PWY-5915	Cofactor-Biosynthesis	phycoerythrobilin biosynthesis I
PWY-6262	Demethylmenaquinol-8-Biosynthesis	demethylmenaquinol-8 biosynthesis II
PWY-5917	Cofactor-Biosynthesis	phycocyanobilin biosynthesis
PWY-5861	Super-Pathways	superpathway of demethylmenaquinol-8 biosynthesis I
PWY-5963	Cofactor-Biosynthesis	thio-molybdenum cofactor biosynthesis
PWY-5964	Cofactor-Biosynthesis	guanylyl molybdenum cofactor biosynthesis
PWY-6012	Interconversion	acyl carrier protein metabolism
PWY-6012-1	Cofactor-Biosynthesis	acyl carrier protein activation
PWY-6148	Cofactor-Biosynthesis	tetrahydromethanopterin biosynthesis
PWY-7767	LEUCINE-DEG	L-leucine degradation IV (Stickland reaction)
PWY-6420	Cofactor-Biosynthesis	pyrroloquinoline quinone biosynthesis
LEU-DEG2-PWY	LEUCINE-DEG	L-leucine degradation I
PWY-6476	Cofactor-Biosynthesis	cytidylyl molybdenum cofactor biosynthesis
PWY-5075	LEUCINE-DEG	L-leucine degradation II
PWY-7886	Macromolecule-Modification	cell-surface glycoconjugate-linked phosphocholine biosynthesis
PWY-7250	Cofactor-Biosynthesis	[2Fe-2S] iron-sulfur cluster biosynthesis
PWY-7578	Cofactor-Biosynthesis	phycoviolobilin biosynthesis
PWY-7579	Cofactor-Biosynthesis	phycourobilin biosynthesis
PWY-7580	Cofactor-Biosynthesis	phycoerythrobilin biosynthesis II
PWY-7639	Cofactor-Biosynthesis	bis(guanylyl molybdenum cofactor) biosynthesis
PWY-7710	Cofactor-Biosynthesis	FeMo cofactor biosynthesis
PWY-7928	Cofactor-Biosynthesis	nickel cofactor biosynthesis
PWY0-1433	Cofactor-Biosynthesis	tetrahydromonapterin biosynthesis
PWY-5386	Methylglyoxal-Detoxification	methylglyoxal degradation I
SAM-PWY	Cofactor-Biosynthesis	S-adenosyl-L-methionine biosynthesis
PWY-5456	Methylglyoxal-Detoxification	methylglyoxal degradation VII
PWY-5453	Methylglyoxal-Detoxification	methylglyoxal degradation III
PWY-5459	Super-Pathways	methylglyoxal degradation IV
PWY-7174	MTR-1P-Degradation	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II
PWY-4361	MTR-1P-Degradation	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I
NONOXIPENT-PWY	Pentose-Phosphate-Cycle	pentose phosphate pathway (non-oxidative branch)
PWY-7993	Quinone-Biosynthesis	&beta;-dihydromenaquinone-9 biosynthesis
PWY-1422	Vitamin-Biosynthesis	vitamin E biosynthesis (tocopherols)
PWY-6048	Methylthiopropionate-Degradation	methylthiopropanoate degradation I (cleavage)
PENTOSE-P-PWY	Super-Pathways	pentose phosphate pathway
